"IHDID","IHDLKID","NEW_KEY","ACRES_IHD","GNIS_NAME","PERIM_KM","LAKE_CODE","STRAHLER","LINK","UP_LAKES","UP_LAKE_ACRES","DOWN_LAKES","DOWN_LAKE_ACRES","WL_KM2","UPSTREAM_CATCH"
973,973,"31-1019",13.58358141,"",1.02,3,-99,-99,-99,-99,-99,-99,0.2375,0
998,998,"31-1033",9.120882364,"",0.82,3,-99,-99,-99,-99,-99,-99,0.1745,0
1028,1028,"31-1046",14.39575761,"",1,3,-99,-99,-99,-99,-99,-99,1.722,0
1142,1142,"",5.341017087,"",0.85,3,-99,-99,-99,-99,-99,-99,0.1486,0
1475,1475,"31-826",27.23018884,"",1.33,3,-99,-99,-99,-99,-99,-99,1.1512,0
1887,1887,"",5.942503968,"",1.36,3,-99,-99,-99,-99,-99,-99,0.4977,0
2086,2086,"31-765",11.2440945,"",1.35,3,-99,-99,-99,-99,-99,-99,0.8522,0
2187,2187,"",8.26742407,"",0.96,3,-99,-99,-99,-99,-99,-99,1.3875,0
2481,2481,"66-567",10.85589277,"",1.21,3,-99,-99,-99,-99,-99,-99,0.1074,0
2913,2913,"31-818",81.6784987,"",2.79,3,-99,-99,-99,-99,-99,-99,1.6863,0
3007,3007,"",9.597086007,"",2.01,3,-99,-99,-99,-99,-99,-99,0.6001,0
3151,3151,"",5.687938962,"",1.05,3,-99,-99,-99,-99,-99,-99,0.3103,0
3207,3207,"",7.091318903,"",0.91,3,-99,-99,-99,-99,-99,-99,0.2192,0
3216,3216,"",6.910314684,"",1.37,2,1,0,0,0,3,9737.204671,0.2282,0
3934,3934,"",7.120777899,"",0.82,3,-99,-99,-99,-99,-99,-99,0.3621,0
3958,3958,"",7.337766826,"",0.72,3,-99,-99,-99,-99,-99,-99,0.493,0
4032,4032,"7-585",51.8783071,"",2.17,3,-99,-99,-99,-99,-99,-99,1.6848,0
5000,5000,"",5.783175688,"",0.69,2,1,0,0,0,4,10504.05056,0.13,0
5105,5105,"",5.523797101,"",0.68,3,-99,-99,-99,-99,-99,-99,0.334,0
5180,5180,"",7.855346099,"",1.26,1,2,2,1,6,4,10504.05056,1.0225,1
5215,5215,"",5.690418589,"",0.75,1,1,1,1,23,16,15750.77367,0.1211,1
5447,5447,"",8.365302263,"",1.02,3,-99,-99,-99,-99,-99,-99,1.194,0
5562,5562,"7-437",25.39358052,"",1.71,3,-99,-99,-99,-99,-99,-99,1.3166,0
5799,5799,"27-1146",57.92600596,"",6.11,1,5,199,22,4079,0,0,1.5743,1
6573,6573,"7-231",17.94268915,"",2.77,1,2,6,2,20,16,16175.93401,1.0662,1
6661,6661,"",5.808646965,"",0.59,3,-99,-99,-99,-99,-99,-99,0.0065,0
6959,6959,"27-1154",12.9434413,"",0.95,3,-99,-99,-99,-99,-99,-99,0.0189,0
6962,6962,"27-1155",35.72877008,"",1.53,3,-99,-99,-99,-99,-99,-99,0.4243,0
7036,7036,"2-799",16.75007259,"",1.81,3,-99,-99,-99,-99,-99,-99,4.8134,0
7095,7095,"2-572",43.70778034,"",1.95,3,-99,-99,-99,-99,-99,-99,0.7459,0
7200,7200,"2-801",12.79890652,"",0.9,3,-99,-99,-99,-99,-99,-99,0.1463,0
7245,7245,"2-802",11.06459456,"",0.96,3,-99,-99,-99,-99,-99,-99,0.3448,0
7250,7250,"2-587",21.77007577,"",1.55,3,-99,-99,-99,-99,-99,-99,0.2558,0
7449,7449,"2-585",10.47037909,"",0.81,3,-99,-99,-99,-99,-99,-99,1.8689,0
7472,7472,"2-583",48.11307142,"",3.24,3,-99,-99,-99,-99,-99,-99,1.612,0
7495,7495,"27-1161",15.58424054,"",1.12,3,-99,-99,-99,-99,-99,-99,0.1111,0
7526,7526,"2-525",97.75248742,"",6.12,3,-99,-99,-99,-99,-99,-99,3.7526,0
7642,7642,"2-798",21.27733244,"",2.03,3,-99,-99,-99,-99,-99,-99,0.1613,0
7757,7757,"",5.34188876,"",0.63,3,-99,-99,-99,-99,-99,-99,0.035,0
7844,7844,"2-736",35.8185266,"",2.55,3,-99,-99,-99,-99,-99,-99,0.4783,0
7860,7860,"2-553",16.56073138,"",1.4,3,-99,-99,-99,-99,-99,-99,0.8584,0
7864,7864,"2-556",20.15291877,"",1.38,3,-99,-99,-99,-99,-99,-99,1.4768,0
7956,7956,"2-559",19.12262776,"",1.21,3,-99,-99,-99,-99,-99,-99,2.6275,0
7970,7970,"2-550",11.00892649,"",0.95,3,-99,-99,-99,-99,-99,-99,2.3378,0
8489,8489,"75-913",21.92001252,"",1.28,3,-99,-99,-99,-99,-99,-99,2.1952,0
8644,8644,"52-1075",75.35569487,"",4.42,3,-99,-99,-99,-99,-99,-99,1.6541,0
8659,8659,"",5.233028706,"",1.42,1,2,2,0,0,12,11961.4015,0.178,1
8688,8688,"52-1074",17.62741565,"",1.1,3,-99,-99,-99,-99,-99,-99,0.5399,0
8722,8722,"52-1095",7.067740896,"",1.26,3,-99,-99,-99,-99,-99,-99,0.0999,0
8785,8785,"52-1093",12.23868138,"",1.04,3,-99,-99,-99,-99,-99,-99,0.4591,0
8790,8790,"",6.215689072,"",0.72,3,-99,-99,-99,-99,-99,-99,1.0708,0
9231,9231,"31-39",16.76457799,"",3.21,1,2,5,3,53,1,12.314015,2.6789,1
9497,9497,"",6.101978228,"",0.7,1,2,2,1,7,9,10901.31254,0.0501,1
10024,10024,"36-1501",165.5746522,"",5.75,3,-99,-99,-99,-99,-99,-99,1.4402,0
10174,10174,"",5.321992588,"",0.56,3,-99,-99,-99,-99,-99,-99,0.04,0
10445,10445,"",5.116876637,"",0.63,3,-99,-99,-99,-99,-99,-99,0.016,0
10553,10553,"36-1521",12.18928226,"",1.15,3,-99,-99,-99,-99,-99,-99,0.8508,0
10711,10711,"",5.843952212,"",0.73,3,-99,-99,-99,-99,-99,-99,0.1845,0
10862,10862,"36-1537",18.46347826,"",1.11,3,-99,-99,-99,-99,-99,-99,1.3051,0
10866,10866,"36-1536",64.39669125,"",2.14,3,-99,-99,-99,-99,-99,-99,0.3664,0
10893,10893,"2-369",9.287563411,"",1.13,2,1,0,0,0,1,843.361028,0.342,0
11472,11472,"",7.031657754,"",1.11,3,-99,-99,-99,-99,-99,-99,0.2007,0
12514,12514,"27-769",14.60619128,"",1.03,3,-99,-99,-99,-99,-99,-99,0.152,0
12795,12795,"52-536",5.649442957,"",0.79,3,-99,-99,-99,-99,-99,-99,0.4045,0
12806,12806,"",5.364329182,"",0.61,1,1,1,0,0,11,6256.354106,0.0317,1
12941,12941,"",7.298284392,"",0.97,3,-99,-99,-99,-99,-99,-99,0.064,0
