"IHDID","WL_KM2","WL_CARL1","WL_CARL2","WL_CARL3","WL_CARL4","WL_CARL6","WL_CARL7","WL_CARL8","WL_CARL9","WL_CARLND","WL_NLCD11","WL_NLCD21","WL_NLCD22","WL_NLCD23","WL_NLCD24","WL_NLCD31","WL_NLCD41","WL_NLCD42","WL_NLCD43","WL_NLCD52","WL_NLCD71","WL_NLCD81","WL_NLCD82","WL_NLCD90","WL_NLCD95","WL_NLCDND","WL_QGEO1","WL_QGEO2","WL_QGEO3","WL_QGEO4","WL_QGEO5","WL_QGEO6","WL_QGEO7","WL_QGEO8","WL_QGEO9","WL_QGEO10","WL_QGEO12","WL_QGEO15","WL_QGEO18","WL_QGEO21","WL_QGEO29","WL_QGEO99","WL_QGEOND","WL_SLOPE","WL_ELEVMEAN","WL_ELEVMIN","WL_ELEVMAX"
973,0.2375,0,0,0,0,0,0.28421,0,0,0.71579,0.06274,0.02905,0,0,0,0,0.82442,0,0,0.03326,0,0,0,0.05053,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,417.23,406.89,439.37
998,0.1745,0,0,0,0,0,0,0,0,1,0.03782,0,0,0,0,0,0.88596,0,0.01318,0,0,0,0,0.06304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,397.245,385.53,414.36
1028,1.722,0,0,0,0,0,0,0,0,1,0.00569,0.01109,0.00383,0.00772,0.0025,0,0.81609,0.00279,0.05081,0.01492,0.014,0.00035,0.01359,0.05662,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,402.613984,376.95,445.78
1142,0.1486,0,0,0,0,0,0,0,0,1,0.04711,0,0,0,0,0,0.80619,0,0.10565,0,0,0,0,0.04105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24,439.338984,429.2,450.91
1475,1.1512,0,0,0.0913,0,0,0,0,0,0.9087,0.02658,0.04222,0,0,0,0,0.57879,0.03492,0.04726,0,0,0.13473,0,0.11518,0.02033,-1e-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.38,285.334004,281.94,290.12
1887,0.4977,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.72534,0.01909,0.1308,0,0.02672,0,0,0.06068,0.03737,0,0,0,0,0,0,0,0,0.95901,0,0.04099,0,0,0,0,0,0,0,3.19,220.525,191.78,245.12
2086,0.8522,0,0,0,0,0,0.06782,0,0,0.93218,0.02793,0.00634,0,0,0,0,0.80392,0.04177,0.06829,0.01291,0,0,0,0.03884,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.04,378.211992,361.02,412.45
2187,1.3875,0,0,0,0,0,0,0,0,1,0.06407,0.00728,0,0,0,0,0.49795,0.03568,0.28757,0.00396,0.00915,0,0,0.05434,0.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.11,253.011992,242.82,281.32
2481,0.1074,0,0,0,0,0,0,0,0,1,0.08659,0,0.01862,0,0,0.59032,0.20484,0,0.09963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.91,245.005,239.48,249.47
2913,1.6863,0,0.19913,0,0,0,0.10751,0,0,0.69336,0.02265,0.02793,0.03202,0,0,0.01708,0.66335,0.01761,0.06043,0.00955,0.01079,0,0,0.13301,0.00557,1e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.35,364.836016,353.49,395.04
3007,0.6001,0,1,0,0,0,0,0,0,0,0.0265,0,0,0,0,0,0.28729,0.15031,0.06366,0,0,0,0,0.47225,0,-1e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.83,358.706016,352.86,380.17
3151,0.3103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33387,0,0.07316,0,0,0,0,0.49243,0.10055,-1e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.95,319.735996,315.57,322.27
3207,0.2192,0,1,0,0,0,0,0,0,0,0.0479,0,0,0,0,0,0.67655,0,0.08987,0,0,0,0,0.16515,0.02053,0,0,0,0.00593,0,0,0,0,0,0,0.99407,0,0,0,0,0,0,0,2.18,368.333984,364.08,375.97
3216,0.2282,0,0,0,0,0,0,0,0,1,0,0.00526,0.00307,0,0,0,0.17266,0.09816,0.26775,0,0.00175,0.30018,0,0.05784,0.09334,-1e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.2,259.253008,256.17,265.28
