"nhdid","new_key"
NA,"41-181.1"
NA,"41-181"
NA,"2-453"
NA,"34-32"
NA,"55-41"
NA,"34-58"
NA,"55-2"
NA,"70-158"
NA,"9-2"
NA,"22-6"
NA,"77-196.1"
NA,"80-253"
NA,"39-315"
"70484","29-101"
NA,"66-560"
NA,"42-288"
NA,"42-290"
NA,"42-289"
NA,"42-287"
NA,"42-359"
NA,"42-357"
NA,"42-291"
NA,"42-303"
NA,"42-305"
NA,"42-311"
NA,"42-315"
NA,"42-321"
NA,"42-336"
NA,"42-320"
NA,"42-319"
NA,"42-318"
NA,"42-339"
NA,"42-338"
NA,"42-205"
NA,"42-324"
NA,"42-204"
NA,"42-356"
NA,"42-177"
NA,"42-202"
NA,"42-358"
NA,"42-179"
NA,"42-175"
NA,"42-207"
"113471333","1-197"
"122383359","1-52"
"116542333","42-127"
NA,"42-200"
NA,"42-188"
NA,"42-185"
NA,"42-223"
NA,"42-189"
NA,"42-265"
NA,"42-165"
NA,"42-360"
NA,"42-244"
NA,"42-242"
NA,"42-247"
NA,"42-276"
NA,"42-249"
NA,"42-252"
NA,"42-167"
NA,"42-362"
NA,"42-166"
NA,"42-169"
NA,"42-173"
NA,"42-154"
NA,"42-156"
NA,"42-158"
NA,"42-161"
NA,"42-361"
NA,"42-59"
NA,"31-1279"
NA,"31-1182"
"116542783","31-1070"
"116542253","42-61"
"116542807","31-1068"
"116542463","42-50"
"116542703","31-1022"
"116542387","42-140"
"116542621","31-1181"
"116542533","42-32"
"116542557","31-1261"
"116542589","31-1172"
"116542289","42-105"
"116542403","42-33"
"116542577","31-1192"
"116542693","31-1145"
"116542605","31-1178"
"116542771","31-1061"
"116542321","42-64"
"116542273","42-100"
"116542423","42-34"
"116542439","42-40"
"116542497","31-1278"
"116542317","42-76"
"116542271","42-62"
"116542521","42-12"
"116543081","31-1267"
"116542215","42-150"
"116542221","42-148"
"116542281","42-120"
"116542397","42-141"
"116542363","42-128"
"116542587","31-1183"
"116542229","42-66"
"116542323","42-90"
"116542645","31-1117"
"116542683","31-993"
"116542705","31-1030"
"116542245","42-86"
"116542727","31-1055"
"116542225","42-151.1"
"116542239","42-93"
"116542283","42-89"
"116542291","42-88"
"116542503","31-1243"
"116542213","42-147"
"116542345","42-126"
"116542581","31-1164"
"116542721","31-1056"
"116542555","31-1161"
"116542939","31-1277"
"116542305","42-103"
"116542435","42-46"
"116542631","31-1222"
"116542211","42-149"
"116542277","42-71"
"116542475","42-18"
"116542531","31-1256"
"116542311","42-91"
"116542701","31-982"
"116542709","31-1026"
"116542223","42-146"
"116542315","42-74"
"116542591","31-1275"
"116542299","42-72"
"116542331","42-77"
"116542309","42-73"
"120018914","31-1266"
"116542983","31-837"
"116542639","31-1111"
"116542745","31-1058"
"116542719","31-1052"
"116542415","42-36"
"116542233","42-151"
"116542265","42-87"
"117625591","31-1035"
"117625599","31-1044"
"117625635","31-843"
"117625607","31-1040"
"75476059","55-8"
NA,"31-1019"
NA,"31-1033"
NA,"31-1046"
NA,"31-1054"
NA,"31-1053"
NA,"31-826"
"116543343","31-915"
"116543431","31-950"
"116543387","31-942"
"105231591","52-1785"
"105231605","52-1727"
"117625661","31-825"
"105231485","52-1778"
"123146856","66-575"
"116543277","31-909"
"116543453","31-970"
"116543223","31-910"
"117625899","31-1276"
"117625929","31-763"
"117626033","31-1280"
"105231601","52-1729"
"117625903","31-766"
"105231571","52-1802"
"105231661","52-1739"
"105231495","52-1782"
"117625845","7-948"
"105231607","52-1728"
"123389929","66-612"
"117625953","31-772"
"117625985","31-781"
"117625969","31-771"
"117625797","31-973"
"105231517","7-1100"
"117626013","31-760"
"117625857","31-767"
"105231561","52-1801"
"105231479","52-1793"
"105231679","52-1731"
"120019339","52-1780"
"120019339","52-1784"
"120019339","52-1786"
"123146994","66-574"
"123147023","66-514"
"105231881","52-1703"
"105231895","7-888"
"116543747","66-525"
"105231855","52-1822"
"123389951","66-537"
"117626085","31-792"
NA,"31-818"
NA,"66-432"
NA,"7-731"
"105231727","52-1741"
"105232125","7-892"
"109943336","17-497"
"123147088","66-515"
"109943318","17-610"
"109943290","17-486"
"116543785","66-447"
"123390074","66-483"
"105232505","7-697"
"117626379","66-451"
"123390080","66-484"
"116543817","66-450"
"116543819","66-452"
"105232787","7-1106"
