"NEW_KEY","COUNTY","LONG_DD","LAT_DD","Water_Body_Name","Survey_Number","SURVEY_YEAR","Survey_Purpose","TARGET_SPECIES","GEAR","SPECIES","FISH_COUNT","SAMPLE_START_DATE","SAMPLE_END_DATE"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","BOOMSHK","BRB",3,"7/6/06","7/6/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","BOOMSHK","EMS",2,"7/6/06","7/6/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","BOOMSHK","MIS",3,"7/6/06","7/6/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","BOOMSHK","PSF",2,"7/6/06","7/6/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","BOOMSHK","SMB",8,"7/6/06","7/6/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","BOOMSHK","WAE",2,"7/6/06","7/6/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","BOOMSHK","YEP",46,"7/6/06","7/6/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","IGNET","CIS",11,"5/30/06","5/31/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","IGNET","CWS",5,"5/30/06","5/31/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","IGNET","LWF",1,"5/30/06","5/31/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","IGNET","RKB",1,"5/30/06","5/31/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","IGNET","WAE",34,"5/30/06","5/31/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","IGNET","YEP",32,"5/30/06","5/31/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","LMFYKE","BLB",1,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","LMFYKE","BRB",542,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","LMFYKE","CWS",86,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","LMFYKE","LNG",1,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","LMFYKE","NOP",2,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","LMFYKE","RKB",34,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","LMFYKE","SMB",165,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","LMFYKE","WAE",47,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","LMFYKE","YEP",16,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","LMFYKE","YLB",7,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","SMFYKE","BRB",5,"5/8/06","5/10/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","SMFYKE","EMS",74,"5/8/06","5/10/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","SMFYKE","LNG",1,"5/8/06","5/10/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","SMFYKE","MIS",70,"5/8/06","5/10/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","SMFYKE","PSF",9,"5/8/06","5/10/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","SMFYKE","RKB",1,"5/8/06","5/10/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","SMFYKE","SMB",10,"5/8/06","5/10/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","SMFYKE","WAE",1,"5/8/06","5/10/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","SMFYKE","YEP",33,"5/8/06","5/10/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","TRAPNET","BLB",1,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","TRAPNET","BRB",594,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","TRAPNET","CWS",98,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","TRAPNET","NOP",12,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","TRAPNET","RBT",1,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","TRAPNET","RKB",64,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","TRAPNET","SMB",508,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","TRAPNET","WAE",251,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","TRAPNET","YEP",6,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","TRAPNET","YLB",4,"5/8/06","5/11/06"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","BOOMSHK","GRP",11,"7/14/03","7/15/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","BOOMSHK","NOP",4,"7/14/03","7/15/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","BOOMSHK","PSF",30,"7/14/03","7/15/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","BOOMSHK","RKB",39,"7/14/03","7/15/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","BOOMSHK","SMB",26,"7/14/03","7/15/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","BOOMSHK","WAE",59,"7/14/03","7/15/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","BOOMSHK","YEP",263,"7/14/03","7/15/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","IGNET","CWS",3,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","IGNET","NOP",2,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","IGNET","RKB",39,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","IGNET","SMB",8,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","IGNET","WAE",5,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","IGNET","YEP",7,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","LMFYKE","BCR",1,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","LMFYKE","CWS",5,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","LMFYKE","NOP",5,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","LMFYKE","PSF",2,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","LMFYKE","RKB",22,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","LMFYKE","SMB",6,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","LMFYKE","WAE",1,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","SEINE","CSH",5,"7/14/03","7/14/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","SEINE","CWS",661,"7/14/03","7/14/03"
