"NEW_KEY","COUNTY","LONG_DD","LAT_DD","Water_Body_Name","Survey_Number","SURVEY_YEAR","Survey_Purpose","TARGET_SPECIES","GEAR","EFFORT_MEASURE","EFFORT","SAMPLE_START_DATE","SAMPLE_END_DATE"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/6/06","7/6/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","IGNET","LIFTS",17,"5/30/06","5/31/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",25,"5/8/06","5/11/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","SMFYKE","LIFTS",5,"5/8/06","5/10/06"
"1-165","Alcona",-83.55954,44.80416,"Hubbard Lake",2446,2006,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",38,"5/8/06","5/11/06"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/14/03","7/15/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",8,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",7,"5/19/03","5/21/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",4,"7/14/03","7/14/03"
"28-187","Grand Trave",-85.61472,44.75667,"Boardman Lake",3491,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",6,"5/19/03","5/21/03"
"5-27","Antrim",-85.18343,44.9086,"Lake Of The Woods",3493,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/21/03","7/21/03"
"5-27","Antrim",-85.18343,44.9086,"Lake Of The Woods",3493,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",4,"5/19/03","5/20/03"
"5-27","Antrim",-85.18343,44.9086,"Lake Of The Woods",3493,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",9,"5/19/03","5/21/03"
"5-27","Antrim",-85.18343,44.9086,"Lake Of The Woods",3493,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",4,"7/21/03","7/21/03"
"5-27","Antrim",-85.18343,44.9086,"Lake Of The Woods",3493,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",6,"5/19/03","5/21/03"
"5-89","Antrim",-85.20121,45.11249,"Sixmile Lake",3494,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/28/03","7/28/03"
"5-89","Antrim",-85.20121,45.11249,"Sixmile Lake",3494,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",4,"5/6/03","5/7/03"
"5-89","Antrim",-85.20121,45.11249,"Sixmile Lake",3494,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",9,"5/6/03","5/8/03"
"5-89","Antrim",-85.20121,45.11249,"Sixmile Lake",3494,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",4,"7/28/03","7/28/03"
"5-89","Antrim",-85.20121,45.11249,"Sixmile Lake",3494,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",6,"5/6/03","5/8/03"
"15-15","Charlevoix",-84.9776,45.16832,"Deer Lake",3496,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/22/03","7/22/03"
"15-15","Charlevoix",-84.9776,45.16832,"Deer Lake",3496,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",4,"5/12/03","5/13/03"
"15-15","Charlevoix",-84.9776,45.16832,"Deer Lake",3496,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",12,"5/12/03","5/14/03"
"15-15","Charlevoix",-84.9776,45.16832,"Deer Lake",3496,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",4,"7/22/03","7/22/03"
"15-15","Charlevoix",-84.9776,45.16832,"Deer Lake",3496,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",9,"5/12/03","5/14/03"
"40-117","Kalkaska",-85.02065,44.78249,"Manistee Lake",3498,2004,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"8/16/04","8/16/04"
"40-117","Kalkaska",-85.02065,44.78249,"Manistee Lake",3498,2004,"Status & Trends","ALL SPECIES","IGNET","LIFTS",2,"5/18/04","5/18/04"
"40-117","Kalkaska",-85.02065,44.78249,"Manistee Lake",3498,2004,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",5,"5/17/04","5/19/04"
"40-117","Kalkaska",-85.02065,44.78249,"Manistee Lake",3498,2004,"Status & Trends","ALL SPECIES","SMFYKE","LIFTS",1,"5/17/04","5/17/04"
"40-117","Kalkaska",-85.02065,44.78249,"Manistee Lake",3498,2004,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",3,"5/17/04","5/17/04"
"40-61","Kalkaska",-85.15621,44.63665,"East Lake",3499,2004,"Status & Trends","ALL SPECIES","IGNET","LIFTS",3,"5/11/04","5/12/04"
"40-61","Kalkaska",-85.15621,44.63665,"East Lake",3499,2004,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",9,"5/10/04","5/12/04"
"40-61","Kalkaska",-85.15621,44.63665,"East Lake",3499,2004,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",7,"5/10/04","5/12/04"
"28-56","Grand Trave",-85.78426,44.61138,"Green Lake",3895,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/15/03","7/15/03"
"28-56","Grand Trave",-85.78426,44.61138,"Green Lake",3895,2003,"Status & Trends","ALL SPECIES","GLGNET","LIFTS",15,"6/2/03","6/5/03"
"28-56","Grand Trave",-85.78426,44.61138,"Green Lake",3895,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",10,"6/2/03","6/5/03"
"28-56","Grand Trave",-85.78426,44.61138,"Green Lake",3895,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",6,"7/15/03","7/15/03"
"28-56","Grand Trave",-85.78426,44.61138,"Green Lake",3895,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",11,"6/2/03","6/5/03"
"63-673","Oakland",-83.60982,42.6261,"Lower Pettibone Lake",4023,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"6/25/03","6/25/03"
"63-673","Oakland",-83.60982,42.6261,"Lower Pettibone Lake",4023,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",1,"5/21/03","5/21/03"
"63-673","Oakland",-83.60982,42.6261,"Lower Pettibone Lake",4023,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",4,"5/21/03","5/22/03"
"63-673","Oakland",-83.60982,42.6261,"Lower Pettibone Lake",4023,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",4,"5/23/03","5/23/03"
"63-673","Oakland",-83.60982,42.6261,"Lower Pettibone Lake",4023,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",4,"5/21/03","5/22/03"
"46-80","Lenawee",-84.13731,42.04721,"Sand Lake",4024,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/14/03","7/15/03"
"46-80","Lenawee",-84.13731,42.04721,"Sand Lake",4024,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",3,"5/27/03","5/28/03"
"46-80","Lenawee",-84.13731,42.04721,"Sand Lake",4024,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",4,"5/27/03","5/28/03"
"46-80","Lenawee",-84.13731,42.04721,"Sand Lake",4024,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",2,"5/27/03","5/27/03"
"46-80","Lenawee",-84.13731,42.04721,"Sand Lake",4024,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",6,"5/27/03","5/28/03"
"47-73","Livingston",-83.89454,42.50416,"Lime (Chenango) Lake",4030,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",1,"5/20/03","5/20/03"
"47-73","Livingston",-83.89454,42.50416,"Lime (Chenango) Lake",4030,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",2,"5/20/03","5/20/03"
