"Water_Body_Key","Water_Body_Name","FMU_Code","survey_number","Year","Survey_Purpose","new_key","Located_Town","Located_Range","Located_Section","primary_county_name","FirstOfSurvey_Begin_Timestamp","LastOfEnding_Effort_Timestamp","LONG_DD","LAT_DD","IHDLKID"
"12588","Sprinkler Lake","MI-MNH",4587,2004,"Status & Trends","1-113","26N","07E",32,"Alcona","6/14/04","6/17/04",-83.60803,44.60399,NA
"27N05E1801","Crooked Lake","MI-MNH",7942,2009,"Status & Trends","1-138","27N","05E",18,"Alcona","6/8/09","6/11/09",-83.86954,44.73555,113471599
"11984","North Lake","MI-MNH",7558,2008,"Status & Trends","1-16","25N","06E",15,"Alcona","5/27/08","8/27/08",-83.69899,44.57055,83976899
"27N07E0301","Hubbard Lake","MI-MNH",2446,2006,"Status & Trends","1-165","27N","07E",3,"Alcona","5/8/06","5/12/06",-83.55954,44.80416,113471457
"27N08E3601","Brownlee Lake","MI-MNH",3794,2002,"Status & Trends","1-179","27N","08E",36,"Alcona","6/3/02","8/15/02",-83.40954,44.68999,83976131
"25N06E2001","Vaughn Lake","MI-MNH",6298,2006,"Status & Trends","1-29","25N","06E",20,"Alcona","6/5/06","6/8/06",-83.7276,44.53916,83977025
"25N05E1401","Alcona Dam Pond","MI-MNH",4079,2003,"Status & Trends","1-4","25N","05E",14,"Alcona","6/9/03","9/16/03",-83.80491,44.56605,83976953
"10371","Cedar Lake","MI-MNH",8992,2012,"Status & Trends","1-52","25N","09E",15,"Alcona","6/6/11","6/9/12",-83.33204,44.53138,122383359
"26N05E1801","O'Brien Lake","MI-MNH",6258,2006,"Status & Trends","1-63","26N","05E",18,"Alcona","5/16/06","5/18/06",-83.88232,44.64138,83976631
"26N06E3601","Bliss Lake","MI-MNH",4966,2004,"Status & Trends","1-97","26N","06E",36,"Alcona","6/14/04","6/16/04",-83.6551,44.60166,83976721
"26N07E0401","Jewell Lake","MI-MNH",3758,2002,"Status & Trends","1-99","26N","07E",4,"Alcona","6/3/02","8/15/02",-83.60676,44.68055,83976291
"27N13W2601","Lake Ann","MI-MCM",5371,2004,"Status & Trends","10-111","27N","13W",26,"Benzie","6/14/04","6/29/04",-85.84982,44.71554,129225129
"25N15W1901","Upper Herring Lake","MI-MCM",5373,2004,"Status & Trends","10-19","25N","16W",13,"Benzie","5/24/04","6/30/04",-86.18176,44.56193,129224203
"25N16W1401","Lower Herring Lake","MI-MCM",4744,2004,"Status & Trends","10-24","25N","16W",14,"Benzie","5/24/04","7/1/04",-86.21482,44.56471,129224200
"27N15W3301","Platte Lake","MI-MCM",8445,2010,"Status & Trends","10-39","27N","15W",33,"Benzie","5/24/10","5/27/10",-86.09232,44.6911,129223861
"27N13W0703","Pearl Lake","MI-MCM",10987,2016,"Status & Trends","10-66","27N","13W",7,"Benzie","6/20/16","6/27/16",-85.91926,44.76304,129224113
"27N13W0601","Gerry Lake","MI-MCM",7232,2007,"Status & Trends","10-77","27N","13W",6,"Benzie","6/12/07","6/14/07",-85.93593,44.77527,129224103
"11039","Herendeene Lake","MI-MCM",5372,2004,"Status & Trends","10-95","27N","13W",15,"Benzie","6/14/04","6/17/04",-85.86149,44.74054,129225118
"08S06W1801","Lake Lavine","MI-MSM",10029,2013,"Status & Trends","12-121","08S","06W",18,"Branch","5/6/13","5/9/13",-85.03759,41.76804,155637885
"10485","Craig Lake","MI-MSM",9363,2012,"Status & Trends","12-21","05S","06W",29,"Branch","6/4/12","8/23/12",-85.0287,42.00416,155636452
"11711","Morrison Lake","MI-MSM",9309,2012,"Status & Trends","12-23","06S","06W",5,"Branch","6/4/12","6/7/12",-85.02926,41.98832,155636544
"07S05W0501","Archer Lake","MI-MSM",8893,2011,"Status & Trends","12-76","07S","05W",5,"Branch","5/9/11","5/18/11",-84.92259,41.88249,155637174
"07S06W2301","East Long Lake","MI-MSM",8897,2011,"Status & Trends","12-86","07S","06W",23,"Branch","5/9/11","5/19/11",-84.96676,41.84999,155637334
"07S06W3401","Coldwater Lake","MI-MSM",10192,2014,"Status & Trends","12-90","07S","06W",34,"Branch","5/19/14","5/29/14",-84.97565,41.82304,155637570
"12231","Prairie Lake","MI-MSM",10095,2013,"Status & Trends","13-23","01S","04W",33,"Calhoun","5/20/13","8/20/13",-84.79565,42.34554,152518193
"10159","Belas Lake","MI-MSM",6249,2006,"Status & Trends","14-154","06S","14W",24,"Cass","5/15/06","6/7/06",-85.88065,41.93888,155637285
"05S13W07","Finch Lake","MI-MSM",3407,2002,"Status & Trends","14-8","05S","13W",7,"Cass","5/15/02","6/26/02",-85.88204,42.04832,155636555
"10612","Deer Lake","MI-MCM",3496,2003,"Status & Trends","15-15","32N","05W",18,"Charlevoix","5/12/03","7/22/03",-84.9776,45.16832,155417344
"34N08W2601","Lake Charlevoix","MI-MCM",6296,2006,"Status & Trends","15-21","34N","08W",26,"Charlevoix","6/6/06","9/16/06",-85.13343,45.26665,155417357
"33N05W1801","Walloon Lake","MI-MCM",11081,2016,"Status & Trends","15-25","33N","05W",18,"Charlevoix","6/13/16","6/28/16",-85.0001,45.27499,155417299
"12641","Susan Lake","MI-MCM",9252,2012,"Status & Trends","15-56","34N","07W",20,"Charlevoix","6/18/12","6/21/12",-85.18121,45.3261,155417287
"02N09E0201","Cass Lake","MI-MER",11734,2018,"Status & Trends","16-1337","02N","09E",2,"Oakland","5/21/18","6/5/18",NA,NA,NA
