"ws_id","ws_area","ws_mean_elev"
129905,7612200,198.473965738422
130010,7441200,224.14655499396
130187,14226300,307.026605870215
131801,5834700,203.403766001887
131802,291808800,268.387715972539
134145,37308600,376.365093111754
134182,4006800,478.064532709251
134185,84670200,353.177529721566
130342,43200900,275.757766558013
130373,24046200,195.203461181655
130515,12109500,299.2910827047
134212,2329200,448.132228185073
134244,32313600,355.844873480183
136269,47745000,302.02185878743
130745,4036500,251.55760912773
130862,55305000,278.759562898885
130869,7213500,263.892475240973
134342,49643100,324.295221858937
134345,8625600,450.940261009738
134389,52560900,329.408092341292
134430,17905500,412.953886882572
134522,39611700.1815,339.040663408472
130988,23879700,264.631857487167
131133,7715700,241.30076746316
134595,17175600,418.145623224078
134659,18487800,369.19316974915
134778,13489200,339.320683094734
131237,12352500,187.680591620774
134837,2174400,244.230071389912
134866,5497200,332.720134222984
134884,85373844.5115,276.221470993901
136295,286839333.964,237.885616082387
136303,920700,236.569980818971
131343,71213400,182.235824726894
131409,70654500,299.06139466968
131410,10688400,289.710089989646
131445,11366100,183.262117154337
131943,19131564.6786,221.130444998776
131953,55301135.3214,226.169962381844
134998,75653999.8185,330.015296852534
134970,13941900,378.437314912691
134971,12448800,380.007395272728
134978,10905300,428.850879469907
134997,222009300,342.399386687287
134999,3291300,330.829401722951
135022,2757600,438.578062769638
135037,141083100,407.387900865493
135056,1359900,236.769271052807
135147,873900,406.208302396702
135150,11941200,374.042452897586
136288,3794400,183.160474064228
136289,28034100,185.692182146369
136291,109712700,234.916340443081
136292,232119000,267.615762101781
135415,421200,361.975436479617
132327,1946700,276.809133514672
132382,12740400,278.009593358921
135457,9798300,399.509886293752
135459,2544300,424.281679491462
132538,1648800,365.832796854744
132548,3624300,340.238605591154
135486,8728200,389.080025561005
135501,14082300,388.640896914021
135502,29942100,389.146757624233
135669,6846300,325.570098724506
135670,16284600,327.940714396231
135718,81241200,375.610570775303
136217,3414600,254.169705267762
136226,57819600,306.006917090493
136327,47939400,374.753085162375
129315,21207600,434.454733020195
129318,22482900,408.830960411749
129445,213074100,424.633601942381
129479,17352900,419.027460582894
129494,105847200,317.39316738068
129514,65457000,300.898211552835
132728,21647700,308.110212022576
132636,23836500,275.958357284571
132635,5174100,303.967562192584
132647,17312400,270.968264756865
132649,65491200,296.4482103086
132663,6606000,238.232863382033
132664,40833000,283.582711353432
132682,6960600,275.63787036439
132690,150873300,239.534476608595
132695,12650400,277.358184546316
136237,483300,268.748730025478
131616,11650500,285.465809611899
132823,2218500,219.4762142901
132835,507600,223.616170247396
129732,6622200,451.569057019776
131631,2043000,191.349950056034
131632,13410000,201.994739274403
131640,8119800,229.708544308953
131646,13098600,207.383015539188
131652,10441800,237.599903964848
131660,3158100,188.901854764298
131665,78658200,208.474713906037
131669,5971500,272.183900588495
131684,9599400,233.25417721153
131694,2251800,184.783912457436
132865,12765600,203.656251691118
132871,13962600,221.718068707953
132873,224100,222.711744683813
132875,18705600,223.689356302462
132889,25336800,221.260957182385
132882,91437300,224.367881407764
132891,45553500,278.640049276221
132893,110998800,275.406388848499
132900,1441883700,233.344391252945
132903,8085600,224.197409890533
136366,14350500,331.897117444884
136370,229500,235.729073917164
132938,4837500,263.400545657136
132990,12068100,276.103312644073
132991,19145700,271.324239567742
132996,97398000,257.436967475603
133007,9876600,266.771670549189
133011,80296200,262.189992567779
133013,6031800,268.047886811168
133017,705600,250.581431447243
133018,8106300,250.252376352681
133027,466200,250.665626849907
133034,69509700,264.917040000202
133037,36893700,260.523693995655
133039,16417800,276.541338189206
133040,120532500,265.696909791847
133044,312401700,217.699197263569
133045,9394200,208.826674543775
133461,3787200,235.000577433481
133493,9887400,226.789731592205
133522,16038000,213.435666141873
133539,83414700,234.315536760596
133557,114944400,206.196667975598
133559,136205100,201.447412318876
133561,123228900,196.792540352477
133568,19032300,190.972302441204
133578,29218500,189.065088609264
133615,30672000,215.956892493522
133632,10268100,198.120854186076
133735,513900,164.886161523609
133077,170262898.687,264.800379122783
133081,320785200,269.620102679746
133054,5564700,255.20689185283
133055,54973800,269.874648840265
133076,52254000,277.315939125531
133078,42414300,252.033209090201
133080,7207200,276.69712002818
133083,86661000,254.367774896029
133085,325800,250.18177727968
133086,112104900,260.82876118656
133087,8715600,251.008807228401
133089,135158400,258.967904410956
133090,7965000,250.92983663268
133091,89991900,258.17143069244
133092,2088000,245.958956350129
133612,40003200,217.095184455939
133669,3007800,199.422493948899
133700,409500,163.842595194722
133702,370800,175.525499769785
133750,6039900,191.24987900742
133751,7866900,181.865514238753
133796,25123500,190.535066980483
133799,3405600,193.449548120478
133909,18779400,168.851673609228
133949,20016000,161.635943176764
133953,5540400,160.214937250981
133977,1843200,139.651266083121
133988,11463300,149.131984381545
133989,7916400,139.288978089198
134092,4186800,199.306044315328
133113,209380562.689,259.03419115849
133093,7548300,259.599918709787
133094,8162100,258.214490822571
133095,2088900,264.148229977839
133098,7809300,250.063267617151
133100,25518600,262.692300482093
133103,420848100,233.099141111896
133114,4572900,255.648362377266
134130,2870100,144.994870860213
134131,38050200,145.86935007478
134132,21495600,185.99343122036
134134,18336600,205.235112779003
134135,573300,193.758341982376
136346,38209500,217.766850172764
132727,3508200,301.13072430849
134892,942121.524886,235.794537169885
133082,1084437.31107,249.859328983038
126155,7429500,177.996825395534
126219,229500,125.881932875689
126231,195300,125.816451323197
126232,7243200,132.657650028024
126307,1927800,106.163753114161
129016,209700,28.829288662759
129091,3911400,181.259624149412
129300,12813300,273.110727973473
129301,4368600,305.889266917477
125250,854100,324.911377146071
125301,24561900,287.031769417762
125366,3070800,278.458232866222
125368,34886700,268.686840768982
126367,167616900,143.463799615608
126190,1773000,134.192764719852
126485,51888150,140.130413182064
126402,69215400,205.119798026122
126416,32115600,174.244790416626
126418,5845500,135.176277623459
126432,6029100,187.58780492386
126453,112655700,100.756698580365
126471,41316300,109.902766868375
126474,28130400,125.541554529342
126475,32936400,131.696604203235
126477,148385700,161.56310171149
126481,8461800,157.723921150381
126487,109426050,130.192683219321
127036,3997800,444.894010726743
127053,77431500,368.315144915057
129147,113973300,180.796913859482
125374,5110200,472.910949545791
125394,3443400,304.321061863678
125430,7577100,410.737478245124
125439,966600,366.3763917891
125484,60418800,394.058159612771
125505,3600000,416.884500656128
125577,31556700,307.072671847448
125588,5612400,404.380556430779
125611,1370700,286.643534489392
125621,15265800,288.005266889229
125665,19130400,308.583343581953
127090,148032000,398.79312412659
127102,143682300,364.143404370793
127139,32227200,456.551498634673
129258,12693600,282.811307266634
125773,24776100,295.37486630975
129261,32233950,254.947683107279
125809,40658400,273.516124940159
125824,80503200,261.557165544026
125833,203400,288.774377468413
125838,2656800,264.760263996073
125848,29480400,337.893702087886
125849,115688700,345.37401335798
125850,29883600,358.403970846831
125851,67970700,295.304270815432
125852,116369100,390.898209914995
127216,1949400,179.035738901858
127234,77097600,214.384073385344
127365,59851800,141.855076130317
127368,849600,114.027226189435
129260,31861350,263.646854079319
125863,5675400,292.036379830179
127567,13235400,335.753366222098
127572,852300,292.213183828996
127681,34172100,227.24775352277
127731,8523900,203.292637089241
127797,81917100,149.934556836181
127801,6777000,210.248034556517
127806,12969900,262.526082543476
127809,4815900,251.053569633301
127813,1479600,233.536605389449
127817,2856600,410.57514480562
127821,4885200,406.236907975851
127822,318763800,261.644061156964
127831,118008000,174.169327522246
127834,1787400,261.383981011305
127835,113384700,188.032572047634
127836,2707200,310.523023108218
127839,6899400,185.985223540743
127841,37777500,175.767022926099
127856,79494300,327.427288999143
127862,79553700,304.199656868303
129169,841500,81.4878336697339
129171,4459500,88.8468630454858
129172,6626700,96.6369485540374
129190,4312800,165.239292504592
129231,18628200,177.874769289144
125911,7334100,257.661700128996
125917,116065800,335.588429690951
127921,36791100,349.281021364145
127939,19541700,149.80429727402
129295,57096000,182.710180416081
129240,7957800,165.099028193231
129266,38839500,270.895572231429
126585,2643298.8285,207.981902504682
126628,4739400,206.627905533063
126640,21182400,198.448350315755
126660,5915700,176.242405619666
126679,18751500,185.297437775046
126696,1160100,177.330008921834
126701,222300,173.137676903111
126730,121500,172.463776652018
126763,7898400,156.449236472519
126780,8253900,155.667643641791
126785,774900,170.582008725121
126787,851400,153.606103441428
126800,2960100,164.055396117422
126820,232200,147.260665065558
126638,106146000,175.145650179821
126905,1593900,131.592856701722
126936,83856601.1715,211.386157364975
126939,5762700,181.348787273483
126940,225000,132.330325805664
126479,35186366.2755,127.557094705697
126010,2643300,138.521060298079
101805,2120400,363.163874744357
105954,15111000,378.124253106358
106374,317700,450.181806785864
106387,736200,470.822677910765
125163,7812900,375.657706417228
125164,7433100,401.652274748274
125165,2578500,412.731404388055
125167,2140200,404.563589765005
106511,23652000,462.033324780748
106779,963900,471.638697463035
106832,652663800,463.958863957729
106878,319898700,474.727826295464
106887,109186200,460.938683449279
106903,46819800,464.777299381541
106908,13721400,477.717340222403
106956,2950200,461.288011142435
106957,13323600,461.118518768533
106973,20590200,481.039291964762
106999,4389300,469.866973601625
107089,805500,458.192687545009
107162,1071900,465.499855534756
107255,33606000,450.360266183568
107257,298800,454.380558059876
107287,7508700,482.109775814353
107320,26325900,470.217219940589
107429,33608700,473.444702299623
107465,56478600,480.017087501221
107468,12270600,479.660567832164
107479,636300,455.855831335087
107652,14193900,534.966893335006
107705,181725300,453.170265177615
107709,18076500,486.27822307561
107713,287100,467.262397694363
107718,261900,462.009757759645
107723,2218500,480.555324853119
107724,5373900,482.054219861942
107725,199800,467.477907747836
107728,42438600,515.327830556572
107735,37937700,450.818086898124
107736,180186300,465.238419447582
107737,368100,449.902142662291
107782,8928900,441.6413599627
107791,648900,481.919853221031
101342,2288700,370.986182677478
101479,2736000,362.575591649507
107949,25088400,387.631991528321
108019,36898200,393.932209598666
108170,4273200,403.518953980572
101555,32413500,368.064280120879
101578,2349900,347.984189603668
108342,2456100,456.070769167768
108389,2954700,398.490462053051
108403,8753400,389.790169460353
108475,6374700,401.31671422635
108663,2103300,418.638459845083
108864,2650500,381.267342626704
108947,2014200,439.309262354956
109081,622800,437.310053522187
101673,120469500,353.260631026735
101700,11311200,374.358289535299
101783,42885900,362.204066258279
101817,2778300,426.84541243197
101877,24750000,372.098981222258
101922,2296800,383.702062397541
109268,32160600,442.939322555472
101977,21783600,384.850808818957
102028,9580500,366.317245189547
102042,99161100,368.441636098362
102060,44403300,404.09065622632
102122,13305600,418.80972009923
102124,27775800,380.713529432414
102221,15181200,403.496684430136
102234,47473200,372.731707881234
102266,6162300,370.842537457776
109274,41597100,479.935790961484
109276,179460000,431.90168915836
109290,63627300,443.799824412534
109297,32138100,450.380684035451
109326,4727700,454.730791156913
109395,29812500,444.753081720777
109409,73557000,437.346736716877
102524,408271470.774,372.74049249449
102311,61904700,366.036996246149
102334,131438700,371.118721770652
102338,4363200,372.871935167722
102368,40465800,363.283611536016
102373,10155600,369.270086034905
102403,3186900,425.347662998168
102430,8994600,378.422685618207
102438,58512600,360.912984488404
102470,65766600,378.030496523943
102495,2375100,370.873083255561
109499,36234862.6156,425.345290022309
109428,76149900,383.110934987424
109429,42740100,411.380270605969
109437,11416500,451.729261937967
109464,65343600,445.59230691795
109472,199854900,426.864655686902
109480,53784000,415.133455661534
109483,9682200,444.59264579868
109488,8549100,461.528962977549
109490,32287500,439.19692771481
109509,23347800,434.948200190833
109510,48750300,389.22342150051
109516,80171100,422.453196100794
109522,28133100,417.239863512082
109533,80235900,441.605201526156
109573,2042100,422.98510127532
109599,18356400,398.990639150363
109601,170208000,415.378693089292
109614,2523600,445.526372324553
109621,53931600,443.70189404677
109623,24822900,428.394492412866
109629,2396700,444.337616379351
109673,62665200,404.728885064856
125030,104204700,381.241410624252
109485,37152900,407.327280236539
101562,38363400,366.417269219037
102546,55671300,357.671570645657
109688,51246900,440.735052209824
109709,11489400,438.339458551038
109719,49772700,432.24955642099
109727,15484500,418.953313699915
109751,6618600,444.825983723383
