"ws_id","Water","Treed_fen","Treed_bog","Dense_deciduous_forest","Dense_coniferous_forest","Mixed_forest_mainly_deciduous","Mixed_forest_mainly_coniferous","Sparse_coniferous_forest","Sparse_deciduous_forest","Recent_cutovers","Old_cuts_and_burns","Mine_tailings_quarries_and_bedrock_outcrops","Unclassified","Open_fen","Open_bog","Settlement_and_developed_land","Recent_burns","Coastal_mudflats","Intertidal_marsh","Supertidal_marsh","Freshwater_coastal_marsh_inland_marsh","Tundra_heath","Pasture_and_abandoned_fields","Alvar","Deciduous_swamp","Cropland","Conifer_swamp","Coniferous_plantation"
170,0.581,0.001,0.004,0.017,0.043,0.125,0.07,0.02,0.052,0.003,0.058,0.001,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0.34,0,0.005,0.017,0.039,0.26,0.132,0.018,0.126,0.023,0.016,0.004,0.013,0.005,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0.178,0,0,0,0.075,0.058,0.15,0.064,0.13,0.229,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0.295,0.002,0.036,0.009,0.121,0.068,0.296,0.085,0.017,0.066,0,0,0,0.004,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
393,0.003,0.04,0.058,0.167,0.096,0.22,0.316,0.015,0.059,0,0,0,0,0.012,0.008,0.006,0,0,0,0,0,0,0,0,0,0,0,0
404,0.037,0.01,0.024,0.071,0.12,0.176,0.4,0.075,0.062,0.007,0,0,0,0.012,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
597,0.049,0,0,0.003,0.175,0.241,0.404,0.096,0.019,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2643,0.058,0,0.001,0.006,0.21,0.044,0.014,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2672,0.262,0.003,0.012,0.001,0.476,0.043,0.023,0.174,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2691,0.175,0.032,0.052,0.014,0.271,0.051,0.024,0.357,0,0,0.016,0.001,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
4279,0.258,0.06,0.01,0,0.385,0.017,0.187,0.071,0,0,0,0,0,0.007,0.001,0.003,0,0,0,0,0,0,0,0,0,0,0,0
4285,0.008,0.062,0.009,0.005,0.134,0.065,0.159,0.124,0.008,0.242,0.178,0,0,0.003,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0
4365,0.089,0.002,0.003,0,0.154,0.065,0.296,0.057,0.003,0.32,0.009,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4402,0.186,0.037,0.005,0.032,0.085,0.158,0.21,0.091,0.029,0.114,0.046,0,0,0.002,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0
7409,0.087,0,0.014,0,0.134,0.171,0.326,0.18,0.037,0.045,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7425,0.003,0,0,0,0.049,0.312,0.358,0.051,0.02,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7427,0.221,0.001,0.001,0.025,0.181,0.061,0.22,0.091,0.027,0.125,0.042,0,0,0.001,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0
7449,0.061,0,0.024,0,0.169,0,0.103,0.376,0.001,0.037,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7484,0.163,0.002,0.005,0.047,0.143,0.09,0.273,0.045,0.011,0.14,0.037,0,0,0.002,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0
7555,0.047,0.036,0.084,0.003,0.383,0.04,0.293,0.092,0.004,0.007,0,0,0,0.009,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0
7564,0.964,0.004,0.001,0,0.009,0,0.012,0.004,0.001,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7572,0.001,0.006,0.065,0.023,0.141,0.119,0.437,0.047,0.013,0.136,0,0,0,0.002,0.002,0.009,0,0,0,0,0,0,0,0,0,0,0,0
7573,0.047,0.045,0.009,0.059,0.04,0.323,0.362,0.039,0.013,0,0,0,0,0.059,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
7718,0.072,0,0.002,0.24,0.041,0.177,0.294,0.005,0.053,0.101,0,0,0,0.003,0.001,0.011,0,0,0,0,0,0,0,0,0,0,0,0
7785,0.186,0,0.038,0.01,0.104,0.189,0.409,0.022,0.007,0,0,0,0,0.014,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0
8007,0.013,0.008,0.034,0.005,0.534,0.055,0.177,0.048,0.006,0.089,0.023,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0
8039,0.078,0.001,0.038,0,0.268,0.009,0.483,0.052,0.001,0.049,0,0.011,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8054,0.348,0.009,0.045,0,0.09,0.009,0.175,0.127,0.042,0.046,0.097,0,0,0.002,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0
8147,0.324,0,0.023,0.006,0.213,0.024,0.304,0.034,0.037,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8324,0.132,0,0,0,0.484,0.033,0.077,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8392,0.001,0.006,0.199,0,0.2,0.017,0.142,0.093,0.018,0.311,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0
8583,0.122,0.003,0.026,0,0.67,0.004,0.079,0.09,0.002,0,0,0,0,0,0.001,0.004,0,0,0,0,0,0,0,0,0,0,0,0
8669,0.442,0.002,0.015,0.021,0.315,0.007,0.128,0.049,0.001,0.006,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0
