"cycle","lakeid","date","surface_depth_m","surface_temp_c","surface_do_mgl","bottom_depth_m","bottom_temp_c","bottom_do_mgl","thermo_depth_m"
1,"15-3523-55336","8/17/10",0,19.8,6.6,7.5,19.4,0.2,NA
1,"15-3532-55170","6/20/10",1,19.7,NA,20,5.4,1.7,5.15080165568717
1,"15-3543-56122","6/24/09",0,18.7,NA,17,9.6,NA,4.50343278327115
1,"15-3559-55281","6/20/10",0.5,19.3,9.8,16,10.1,NA,0.75
1,"15-3653-55394","7/24/10",0.5,25.1,NA,8,20.7,NA,1.80521859018439
1,"15-3654-55172","6/14/10",1,17.6,10.4,30,5.1,0.5,7.25061133037119
1,"15-3662-55240","6/14/10",0,18.8,9.2,7,16.2,0.5,1.08720404964781
1,"15-3754-55732","8/6/09",0.5,18,8.1,36,9.2,5.1,19.4336275766715
1,"15-3755-55568","6/28/10",1,19.9,9.2,6,13,0.6,3.50536956169573
1,"15-3786-56088","9/10/09",0.5,20.9,NA,19,9.3,2.09,14.5191386423528
1,"15-3795-55615","9/14/10",0.5,14.2,9.5,34,4.6,5.3,8.73724462420179
1,"15-3895-55970","6/23/09",1,20.6,8.78,31,5.9,8.17,3.16746784863764
1,"15-3974-57298","6/13/11",0.5,16.3,NA,15,11.7,NA,0.75
1,"15-3982-55227","7/5/10",0.5,22.5,NA,24,7.1,NA,5.06540472366425
1,"15-4058-55081","8/6/10",1,22.1,8.6,23,6.8,0.5,5.50237414536292
1,"15-4100-55022","8/3/10",0.5,23.3,8.2,18,5.8,0.3,7.44442522959992
1,"15-4109-56434","8/13/09",0.5,22.1,7.3,27,5.5,2.3,2.51629752155113
1,"15-4115-55351","7/21/10",1,22.3,8.5,24,5.7,2.9,3.48626861108838
1,"15-4124-55428","8/27/10",0.5,19.1,9.6,20,4.9,0.8,4.52975157313819
1,"15-4127-55299","7/20/10",0.5,22.7,8.2,11,8.2,0.5,4.30718802829009
1,"15-4131-55595","7/11/09",0.5,19.2,8.6,32,18.7,1,NA
1,"15-4148-55077","8/4/10",0.5,23.9,8.3,38,5,6,6.42735206382851
1,"15-4153-55253","7/21/10",0.1,20.6,8.97,50,4.9,12.16,9.83252318552495
1,"15-4172-56262","6/23/09",1,17.4,NA,29,6.2,NA,4.44877008991161
1,"15-4185-55186","7/13/10",1,22.4,8.8,19,6.9,0.5,3.61347269915677
1,"15-4187-56135","6/16/09",0,19.9,NA,39,5.2,NA,3.51897395443545
1,"15-4216-54977","6/27/10",0.5,21.4,9,13,8.9,0.2,2.29130098361428
1,"15-4218-54877","7/25/10",1,23.4,8.9,15,8.5,2.2,5.91140429463297
1,"15-4238-55430","6/17/09",0,20.8,NA,33,4,NA,2.60653657518858
1,"15-4250-55493","7/8/09",0.5,19.1,NA,60,4.8,11.8,8.77421575937229
1,"15-4255-56385","8/19/09",0,18.8,9.64,41,6.5,9.16,7.62016318755669
1,"15-4270-56011","7/23/09",0.5,17.7,NA,57,4.9,NA,6.44970775412961
1,"15-4279-55138","8/8/10",1,22.4,9.4,42,4.5,12.1,5.70238737515062
1,"15-4298-55335","7/25/10",0,23.4,8.5,30,4.9,4,6.02552606746635
1,"15-4304-57399","7/26/09",0.5,20.1,NA,19,10.1,0.9,3.87868081373076
1,"15-4305-55763","7/18/09",0.5,18.1,9,25,17.1,8.4,0.75
