"My_intwbdy","Distance","Shape_Leng","Shape_Area","My_intwb_1","FID_1","OGF_ID","Area_sqm","Perim_m","FID_2","OGF_ID_1","PDEM_South"
129905,0,18840,7612200,0,0,0,0,0,0,0,198.473965738422
130010,0,18120,7441200,0,0,0,0,0,0,0,224.14655499396
130187,0,46560,14226300,0,0,0,0,0,0,0,307.026605870215
131801,0,23640,5834700,0,0,0,0,0,0,0,203.403766001887
131802,0,151140,291808800,0,0,0,0,0,0,0,268.387715972539
134145,0,43920,37308600,0,0,0,0,0,0,0,376.365093111754
134182,0,12780,4006800,0,0,0,0,0,0,0,478.064532709251
134185,0,83040,84670200,0,0,0,0,0,0,0,353.177529721566
130342,0,96900,43200900,0,0,0,0,0,0,0,275.757766558013
130373,0,60060,24046200,0,0,0,0,0,0,0,195.203461181655
130515,0,30780,12109500,0,0,0,0,0,0,0,299.2910827047
134212,0,13260,2329200,0,0,0,0,0,0,0,448.132228185073
134244,0,50940,32313600,0,0,0,0,0,0,0,355.844873480183
136269,0,63180,47745000,0,0,0,0,0,0,0,302.02185878743
130745,0,13140,4036500,0,0,0,0,0,0,0,251.55760912773
130862,0,89460,55305000,0,0,0,0,0,0,0,278.759562898885
130869,0,21720,7213500,0,0,0,0,0,0,0,263.892475240973
134342,0,65340,49643100,0,0,0,0,0,0,0,324.295221858937
134345,0,21840,8625600,0,0,0,0,0,0,0,450.940261009738
134389,0,70560,52560900,0,0,0,0,0,0,0,329.408092341292
134430,0,36840,17905500,0,0,0,0,0,0,0,412.953886882572
134522,0,63120.0121024,39611700.1815,0,0,0,0,0,0,0,339.040663408472
130988,0,43740,23879700,0,0,0,0,0,0,0,264.631857487167
131133,0,22020,7715700,0,0,0,0,0,0,0,241.30076746316
134595,0,40320,17175600,0,0,0,0,0,0,0,418.145623224078
134659,0,45720,18487800,0,0,0,0,0,0,0,369.19316974915
134778,0,27000,13489200,0,0,0,0,0,0,0,339.320683094734
131237,0,33360,12352500,0,0,0,0,0,0,0,187.680591620774
134837,0,11160,2174400,0,0,0,0,0,0,0,244.230071389912
134866,0,15660,5497200,0,0,0,0,0,0,0,332.720134222984
134884,0,127184.653037,85373844.5115,0,0,0,0,0,0,0,276.221470993901
136295,0,202495.352042,286839333.964,0,0,0,0,0,0,0,237.885616082387
136303,0,6180,920700,0,0,0,0,0,0,0,236.569980818971
131343,53.45539169,939660,71213400,0,0,0,0,0,0,0,182.235824726894
131409,0,98160,70654500,0,0,0,0,0,0,0,299.06139466968
131410,0,25560,10688400,0,0,0,0,0,0,0,289.710089989646
131445,0,29400,11366100,0,0,0,0,0,0,0,183.262117154337
131943,0,59485.9096753,19131564.6786,0,0,0,0,0,0,0,221.130444998776
131953,0,100525.909675,55301135.3214,0,0,0,0,0,0,0,226.169962381844
134998,92.88996541,82380.0121024,75653999.8185,0,0,0,0,0,0,0,330.015296852534
134970,0,31860,13941900,0,0,0,0,0,0,0,378.437314912691
134971,0,34200,12448800,0,0,0,0,0,0,0,380.007395272728
134978,0,25140,10905300,0,0,0,0,0,0,0,428.850879469907
134997,0,191340,222009300,0,0,0,0,0,0,0,342.399386687287
134999,0,12000,3291300,0,0,0,0,0,0,0,330.829401722951
135022,0,9660,2757600,0,0,0,0,0,0,0,438.578062769638
135037,0,173760,141083100,0,0,0,0,0,0,0,407.387900865493
135056,0,7200,1359900,0,0,0,0,0,0,0,236.769271052807
135147,0,5640,873900,0,0,0,0,0,0,0,406.208302396702
135150,0,60360,11941200,0,0,0,0,0,0,0,374.042452897586
136288,0,16140,3794400,0,0,0,0,0,0,0,183.160474064228
136289,0,50940,28034100,0,0,0,0,0,0,0,185.692182146369
136291,0,147780,109712700,0,0,0,0,0,0,0,234.916340443081
136292,0,221280,232119000,0,0,0,0,0,0,0,267.615762101781
135415,0,4080,421200,0,0,0,0,0,0,0,361.975436479617
132327,0,14040,1946700,0,0,0,0,0,0,0,276.809133514672
132382,0,30780,12740400,0,0,0,0,0,0,0,278.009593358921
135457,0,21600,9798300,0,0,0,0,0,0,0,399.509886293752
135459,0,11340,2544300,0,0,0,0,0,0,0,424.281679491462
