"FID_1","OGF_ID","Area_sqm","Perim_m","FID_2","OGF_ID_1","My_intwb_1","Distance","Shape_Leng","Shape_Area","My_intwbdy","PDEM_North"
395,51222104,59278500,72659.9999999,392,51222104,393,0,72660,59278500,0,NA
386,51221541,4457700,18780,438,51221541,439,0,18780,4457700,0,NA
12,51211989,7260300,16680,7572,51211989,7573,0,16680,7260300,0,NA
650,51473016,5688900,13140,224,51473016,225,0,13140,5688900,0,NA
666,51473154,37771200,93719.9999999,271,51473154,272,0,93720,37771200,0,NA
665,51473150,65954700,160140,403,51220463,404,80.32254295,160140,65954700,0,NA
755,70711096,34617600,50220,411,70711096,412,0,50220,34617600,0,NA
663,51473142,208926000,236160,468,51473142,469,0,236160,208926000,0,NA
660,51473119,125391600,108960,475,51473119,476,0,108960,125391600,0,NA
683,51473263,211276800,207900,7399,51473263,7400,0,207900,211276800,0,NA
684,51473266,16477200,40080,7408,51473266,7409,0,40080,16477200,0,NA
685,51473292,1910700,8760,7424,51473292,7425,19.724975,8760,1910700,0,NA
524,51472568,82634399.9999,211260,7554,51210599,7555,177.84464133,211260,82634400,0,NA
527,51472600,50850000,85020,7563,51472600,7564,0,85020,50850000,0,NA
528,51472639,89548200,121860,7571,51472639,7572,0,121860,89548200,0,NA
617,51472909,14645700,28620,7717,51472909,7718,0,28620,14645700,0,NA
640,51472983,5693400,17880,7784,51472983,7785,0,17880,5693400,0,NA
930,106549146,132849900,150360,8006,106549146,8007,0,150360,132849900,0,NA
523,51472531,17364600,33960,8038,51472531,8039,0,33960,17364600,0,NA
616,51472908,23277600,39960.0000001,8146,51472908,8147,0,39960,23277600,0,NA
1129,106551425,121731300,110580,7426,106551425,7427,0,110580,121731300,0,NA
1103,106551182,2848500,9840,8323,106551182,8324,0,9840,2848500,0,NA
2907,108605101,427770900,322860,196,108605101,197,0,322860,427770900,0,NA
2906,108605100,110225700,134940,412,51217810,413,269.6499563,134940,110225700,0,NA
3000,108606170,15756300,36240,501,108606170,502,0,36240,15756300,0,NA
2905,108605098,44173800,54600,621,108605098,622,0,54600,44173800,0,NA
2812,108571992,3978000,15180,7448,108571992,7449,0,15180,3978000,0,NA
2843,108572344,68676300,106500,8053,108572344,8054,0,106500,68676300,0,NA
2811,108571953,96534000,84960,8391,108571953,8392,0,84960,96534000,0,NA
2640,108568854,13176900,26160,8427,108568854,8428,0,26160,13176900,0,NA
3016,108606289,36676800,44280,169,108606289,170,0,44280,36676800,0,NA
3037,108606346,19242000,60000,173,108606346,174,0,60000,19242000,0,NA
3036,108606345,9262800,21540,179,108606345,180,0,21540,9262800,0,NA
3012,108606285,1915200,9900,596,108606285,597,0,9900,1915200,0,NA
3271,108676942,310052700,296820,8668,108676942,8669,0,296820,310052700,0,403.334644594418
3285,108676969,9121500,22560,8681,108676969,8682,0,22560,9121500,0,402.065332862316
3499,108690472,1121400,6180,8691,108690472,8692,0,6180,1121400,0,390.656344050963
3287,108676983,3339900,12900,8701,108676983,8702,0,12900,3339900,0,404.024802016492
3197,108676492,6208200,16320,8725,108676492,8726,0,16320,6208200,0,407.635273951937
3173,108676419,9061200,25440,8827,108676419,8828,0,25440,9061200,0,417.406597487549
3486,108690396,5012100,14220,8894,108690396,8895,0,14220,5012100,0,389.042370015831
3314,108684979,90549900,114660,9500,108684979,9501,0,114660,90549900,0,386.145875083549
3607,108690617,12877200,27900,8582,108690617,8583,0,27900,12877200,0,387.653593356095
3595,108690603,127001700,192420,8694,108690603,8695,0,192420,127001700,0,382.892208992777
3599,108690608,8952299.99997,23160,8695,108690608,8696,0,23160,8952300,0,386.985593441995
3612,108690622,32478300,150780,8841,108690622,8842,57.7012,150780,32478300,0,385.961783278437
3605,108690615,105986700,160260,8843,108690615,8844,0,160260,105986700,0,387.481987148975
3568,108690572,54851400,90240,8944,108690572,8945,0,90240,54851400,0,391.795973237763
3528,108690530,37882800,61500,8946,108690530,8947,0,61500,37882800,0,403.771263453169
3604,108690614,18826200,42420,9057,108690614,9058,0,42420,18826200,0,390.581150357292
4576,225990483,9121500,20580,9356,225990483,9357,0,20580,9121500,0,392.85806208772
8091,750530003,27961200,40500,2472,750530003,2473,0,40500,27961200,0,351.160848116345
9208,750777616,10484100,26580,1837,750777616,1838,0,26580,10484100,0,347.551587336892
9234,750777721,28218600,37500,2185,750777721,2186,0,37500,28218600,0,335.323507322707
9175,750777528,68023800,102840,2283,750545549,2284,118.74323237,102840,68023800,0,333.981465490394
9271,750777824,29468700,37680,4278,750777824,4279,0,37680,29468700,0,284.682054082588
9276,750777833,133020000,114780,4284,750777833,4285,0,114780,133020000,0,316.102481096444
9247,750777759,8902800,19740,4364,750777759,4365,0,19740,8902800,0,287.927593541251
9239,750777734,148031100,150780,4401,750777734,4402,0,150780,148031100,0,297.536323317706
9281,750777845,69372000,68040,4445,750777845,4446,0,68040,69372000,0,294.584688868618
9335,750778026,50121900,67800,7483,750778026,7484,0,67800,50121900,0,289.116435124515
9344,750778064,11859300,23040,7491,750778064,7492,0,23040,11859300,0,282.430772954925
9520,1300585238,49162500,66240,9104,1300585238,9105,0,66240,49162500,0,340.260714338152
9518,1300585204,4671000,15900,9141,1300585204,9142,0,15900,4671000,0,339.708992042615
9532,1300789265,122572800,156300,9467,1300789265,9468,0,156300,122572800,0,343.637459542741
0,0,0,0,0,0,0,0,18840,7612200,129905,NA
0,0,0,0,0,0,0,0,23640,5834700,131801,NA
0,0,0,0,0,0,0,0,151140,291808800,131802,NA
0,0,0,0,0,0,0,0,12780,4006800,134182,NA
0,0,0,0,0,0,0,0,83040,84670200,134185,NA
0,0,0,0,0,0,0,0,13380,3266100,134195,NA
0,0,0,0,0,0,0,0,96900,43200900,130342,NA
0,0,0,0,0,0,0,0,60060,24046200,130373,NA
0,0,0,0,0,0,0,0,30780,12109500,130515,NA
0,0,0,0,0,0,0,0,11820,2621700,134266,NA
0,0,0,0,0,0,0,0,7320,1458900,134323,NA
0,0,0,0,0,0,0,0,63180,47745000,136269,NA
0,0,0,0,0,0,0,0,19200,5435100,130744,NA
0,0,0,0,0,0,0,0,13140,4036500,130745,NA
0,0,0,0,0,0,0,0,29220,13787100,130749,NA
0,0,0,0,0,0,0,0,6600,1420200,130756,NA
0,0,0,0,0,0,0,0,45720,19814400,130771,NA
0,0,0,0,0,0,0,0,65340,49643100,134342,NA
0,0,0,0,0,0,0,0,21840,8625600,134345,NA
0,0,0,0,0,0,0,0,70560,52560900,134389,NA
0,0,0,0,0,0,0,0,36840,17905500,134430,NA
0,0,0,0,0,0,0,0,12240,2232000,134455,NA
0,0,0,0,0,0,0,0,10800,2905200,134569,NA
0,0,0,0,0,0,0,0,43740,23879700,130988,NA
0,0,0,0,0,0,0,0,7560,1846800,134577,NA
0,0,0,0,0,0,0,0,31740,12160800,134628,NA
0,0,0,0,0,0,0,0,45720,18487800,134659,NA
0,0,0,0,0,0,0,0,80640,65195100,134685,NA
0,0,0,0,0,0,0,0,27000,13489200,134778,NA
0,0,0,0,0,0,0,0,56040,26275500,131849,NA
0,0,0,0,0,0,0,0,11160,2174400,134837,NA
0,0,0,0,0,0,0,0,15660,5497200,134866,NA
0,0,0,0,0,0,0,0,127184.653037,85373844.5115,134884,NA
0,0,0,0,0,0,0,0,202495.352042,286839333.964,136295,NA
0,0,0,0,0,0,0,0,6180,920700,136303,NA
0,0,0,0,0,0,0,53.45539169,939660,71213400,131343,NA
0,0,0,0,0,0,0,0,98160,70654500,131409,NA
0,0,0,0,0,0,0,0,25560,10688400,131410,NA
0,0,0,0,0,0,0,0,29400,11366100,131445,NA
0,0,0,0,0,0,0,0,59485.9096753,19131564.6786,131943,NA
0,0,0,0,0,0,0,0,100525.909675,55301135.3214,131953,NA
0,0,0,0,0,0,0,0,53100,43384500,134986,NA
0,0,0,0,0,0,0,0,191340,222009300,134997,NA
0,0,0,0,0,0,0,0,48780,32665500,135007,NA
0,0,0,0,0,0,0,0,9660,2757600,135022,NA
0,0,0,0,0,0,0,0,61860,44119800,135049,NA
0,0,0,0,0,0,0,0,7200,1359900,135056,NA
0,0,0,0,0,0,0,0,16140,3794400,136288,NA
0,0,0,0,0,0,0,0,50940,28034100,136289,NA
0,0,0,0,0,0,0,0,147780,109712700,136291,NA
0,0,0,0,0,0,0,0,221280,232119000,136292,NA
0,0,0,0,0,0,0,0,14040,1946700,132327,NA
0,0,0,0,0,0,0,0,30780,12740400,132382,NA
0,0,0,0,0,0,0,0,120780,81585000,135434,NA
0,0,0,0,0,0,0,0,18120,8728200,135486,NA
0,0,0,0,0,0,0,0,28560,14082300,135501,NA
0,0,0,0,0,0,0,0,44580,29942100,135502,NA
0,0,0,0,0,0,0,0,73920,44413200,135595,NA
0,0,0,0,0,0,0,0,20880,6846300,135669,NA
0,0,0,0,0,0,0,0,30600,16284600,135670,NA
0,0,0,0,0,0,0,0,122598.166538,81241200,135718,NA
0,0,0,0,0,0,0,192.15776543,178620,3414600,136217,NA
0,0,0,0,0,0,0,0,81420,57819600,136226,NA
0,0,0,0,0,0,0,0,34320,21207600,129315,NA
0,0,0,0,0,0,0,0,36420,22482900,129318,NA
0,0,0,0,0,0,0,0,38700,27106200,129330,NA
0,0,0,0,0,0,0,0,58800,37292400,129424,NA
0,0,0,0,0,0,0,0,177060,213074100,129445,NA
0,0,0,0,0,0,0,0,123300,213597000,129446,NA
0,0,0,0,0,0,0,0,25740,17352900,129479,NA
0,0,0,0,0,0,0,0,116580,105847200,129494,NA
0,0,0,0,0,0,0,0,79920,65457000,129514,NA
0,0,0,0,0,0,0,54.47125803,38460,21647700,132728,NA
0,0,0,0,0,0,0,182.97041609,38317.0820393,23836500,132636,NA
0,0,0,0,0,0,0,0,15540,5174100,132635,NA
0,0,0,0,0,0,0,0,41460,17312400,132647,NA
0,0,0,0,0,0,0,0,81360,65491200,132649,NA
0,0,0,0,0,0,0,0,18600,6606000,132663,NA
0,0,0,0,0,0,0,0,53580,40833000,132664,NA
0,0,0,0,0,0,0,0,19140,6960600,132682,NA
0,0,0,0,0,0,0,0,98160,150873300,132690,NA
0,0,0,0,0,0,0,0,24300,12650400,132695,NA
0,0,0,0,0,0,0,0,32234.1640786,15387300,132725,NA
0,0,0,0,0,0,0,279.04274267,31020,483300,136237,NA
0,0,0,0,0,0,0,0,23220,11650500,131616,NA
0,0,0,0,0,0,0,49.85894342,18240,6622200,129732,NA
0,0,0,0,0,0,0,0,8700,2043000,131631,NA
0,0,0,0,0,0,0,0,24420,13410000,131632,NA
0,0,0,0,0,0,0,0,25140,13098600,131646,NA
0,0,0,0,0,0,0,0,24180,10441800,131652,NA
0,0,0,0,0,0,0,0,11520,3158100,131660,NA
0,0,0,0,0,0,0,0,67800,78658200,131665,NA
0,0,0,0,0,0,0,0,17640,6031800,131680,NA
0,0,0,0,0,0,0,0,24180,9599400,131684,NA
0,0,0,0,0,0,0,0,39000,12765600,132865,NA
0,0,0,0,0,0,0,0,37200,13962600,132871,NA
0,0,0,0,0,0,0,0,54180,18705600,132875,NA
0,0,0,0,0,0,0,356.23564109,45240,25336800,132889,NA
0,0,0,0,0,0,0,0,76020,91437300,132882,NA
0,0,0,0,0,0,0,0,46860,45553500,132891,NA
0,0,0,0,0,0,0,0,72180,110998800,132893,NA
0,0,0,0,0,0,0,0,415260,1441883700,132900,NA
0,0,0,0,0,0,0,0,24240,14350500,136366,NA
0,0,0,0,0,0,0,0,2700,229500,136370,NA
0,0,0,0,0,0,0,0,14340,4837500,132938,NA
0,0,0,0,0,0,0,23.42968843,33060,12068100,132990,NA
0,0,0,0,0,0,0,297.04377257,32820,19145700,132991,NA
0,0,0,0,0,0,0,0,81300,97398000,132996,NA
0,0,0,0,0,0,0,0,24900,9876600,133007,NA
0,0,0,0,0,0,0,0,105540,80296200,133011,NA
0,0,0,0,0,0,0,0,20940,6031800,133013,NA
0,0,0,0,0,0,0,0,4740,705600,133017,NA
0,0,0,0,0,0,0,0,5100,466200,133027,NA
0,0,0,0,0,0,0,0,84600,69509700,133034,NA
0,0,0,0,0,0,0,0,52740,36893700,133037,NA
0,0,0,0,0,0,0,0,31440,16417800,133039,NA
0,0,0,0,0,0,0,0,113940,120532500,133040,NA
0,0,0,0,0,0,0,0,175080,312401700,133044,NA
0,0,0,0,0,0,0,0,19260,9394200,133045,NA
0,0,0,0,0,0,0,0,13860,3787200,133461,NA
0,0,0,0,0,0,0,0,27540,9887400,133493,NA
0,0,0,0,0,0,0,0,33420,16038000,133522,NA
0,0,0,0,0,0,0,0,139980,83414700,133539,NA
0,0,0,0,0,0,0,0,143280,114944400,133557,NA
0,0,0,0,0,0,0,0,101400,136205100,133559,NA
0,0,0,0,0,0,0,0,150780,123228900,133561,NA
0,0,0,0,0,0,0,0,48840,30672000,133615,NA
0,0,0,0,0,0,0,0,24540,10268100,133632,NA
0,0,0,0,0,0,0,58.37793112,30420,513900,133735,NA
0,0,0,0,0,0,0,0,52920,22600800,136244,NA
0,0,0,0,0,0,0,148.07800158,147359.912627,170262898.687,133077,NA
0,0,0,0,0,0,0,79.79799333,211943.109888,320785200,133081,NA
0,0,0,0,0,0,0,0,15540,5564700,133054,NA
0,0,0,0,0,0,0,0,60900,54973800,133055,NA
0,0,0,0,0,0,0,0,73140,52254000,133076,NA
0,0,0,0,0,0,0,0,44487.9031979,42414300,133078,NA
0,0,0,0,0,0,0,0,19860,7207200,133080,NA
0,0,0,0,0,0,0,0,83580,86661000,133083,NA
0,0,0,0,0,0,0,0,5580,325800,133085,NA
0,0,0,0,0,0,0,0,106200,112104900,133086,NA
0,0,0,0,0,0,0,0,21240,8715600,133087,NA
0,0,0,0,0,0,0,0,210087.903198,135158400,133089,NA
0,0,0,0,0,0,0,0,22740,7965000,133090,NA
0,0,0,0,0,0,0,0,90120,89991900,133091,NA
0,0,0,0,0,0,0,0,12600,2088000,133092,NA
0,0,0,0,0,0,0,0,15960,3007800,133669,NA
0,0,0,0,0,0,0,203.30276351,24660,409500,133700,NA
0,0,0,0,0,0,0,68.82077821,22200,370800,133702,NA
0,0,0,0,0,0,0,29.32614604,2940,47700,133735,NA
0,0,0,0,0,0,0,0,23640,6039900,133750,NA
0,0,0,0,0,0,0,0,19080,3804300,133781,NA
0,0,0,0,0,0,0,310.02442268,77460,1233900,134029,NA
0,0,0,0,0,0,0,267.45897456,31080,507600,134090,NA
0,0,0,0,0,0,0,45.1923485,156275.340277,209380562.689,133113,NA
0,0,0,0,0,0,0,0,18780,7548300,133093,NA
0,0,0,0,0,0,0,0,21840,8162100,133094,NA
0,0,0,0,0,0,0,0,14640,2088900,133095,NA
0,0,0,0,0,0,0,42.84204432,21960,7809300,133098,NA
0,0,0,0,0,0,0,0,49200,25518600,133100,NA
0,0,0,0,0,0,0,0,269580,420848100,133103,NA
0,0,0,0,0,0,0,0,13440,4572900,133114,NA
0,0,0,0,0,0,0,0,43200,18336600,134134,NA
0,0,0,0,0,0,0,0,5040,573300,134135,NA
0,0,0,0,0,0,0,0,56820,38209500,136346,NA
0,0,0,0,0,0,0,0,13800,3508200,132727,NA
0,0,0,0,0,0,0,0,7810.69900563,942121.524886,134892,NA
0,0,0,0,0,0,0,0,5975.34027724,1084437.31107,133082,NA
0,0,0,0,0,0,0,0,21960,7429500,126155,NA
0,0,0,0,0,0,0,0,2580,229500,126219,NA
0,0,0,0,0,0,0,0,2820,195300,126231,NA
0,0,0,0,0,0,0,0,23040,7243200,126232,NA
0,0,0,0,0,0,0,0,21420,6598800,126303,NA
0,0,0,0,0,0,0,0,8280,1927800,126307,NA
0,0,0,0,0,0,0,0,15780,5361300,126317,NA
0,0,0,0,0,0,0,0,2280,209700,129016,NA
0,0,0,0,0,0,0,97.01649696,1492680,765505800,129036,NA
0,0,0,0,0,0,0,0,15540,3911400,129091,NA
0,0,0,0,0,0,0,22.43218174,328380,100216800,129298,NA
0,0,0,0,0,0,0,0,29640,12813300,129300,NA
0,0,0,0,0,0,0,0,15960,4368600,129301,NA
0,0,0,0,0,0,0,0,5280,854100,125250,NA
0,0,0,0,0,0,0,0,62460,24561900,125301,NA
0,0,0,0,0,0,0,0,12060,3070800,125366,NA
0,0,0,0,0,0,0,0,68700,34886700,125368,NA
0,0,0,0,0,0,0,133.01411324,182040,167616900,126367,NA
0,0,0,0,0,0,0,28.60677247,14820,1773000,126190,NA
0,0,0,0,0,0,0,105.87526041,55782.4264069,51888150,126485,NA
0,0,0,0,0,0,0,0,82680,69215400,126402,NA
0,0,0,0,0,0,0,0,60660,32115600,126416,NA
0,0,0,0,0,0,0,0,16320,5845500,126418,NA
0,0,0,0,0,0,0,0,135900,112655700,126453,NA
0,0,0,0,0,0,0,0,42120,19735200,126459,NA
0,0,0,0,0,0,0,0,198960,148385700,126477,NA
0,0,0,0,0,0,0,0,23400,8461800,126481,NA
0,0,0,0,0,0,0,0,141236.590486,109426050,126487,NA
0,0,0,0,0,0,0,0,13200,3997800,127036,NA
0,0,0,0,0,0,0,0,96060,77431500,127053,NA
0,0,0,0,0,0,0,119.60827869,484860,216793800,129063,NA
0,0,0,0,0,0,0,0,144000,113973300,129147,NA
0,0,0,0,0,0,0,0,16800,5110200,125374,NA
0,0,0,0,0,0,0,0,10800,3443400,125394,NA
0,0,0,0,0,0,0,0,18660,7577100,125430,NA
0,0,0,0,0,0,0,0,83460,60418800,125484,NA
0,0,0,0,0,0,0,0,14700,3600000,125505,NA
0,0,0,0,0,0,0,0,47640,31556700,125577,NA
0,0,0,0,0,0,0,0,15720,5612400,125588,NA
0,0,0,0,0,0,0,0,7440,1370700,125611,NA
0,0,0,0,0,0,0,0,29280,15265800,125621,NA
0,0,0,0,0,0,0,0,35160,19130400,125665,NA
0,0,0,0,0,0,0,0,151980,148032000,127090,NA
0,0,0,0,0,0,0,0,128940,143682300,127102,NA
0,0,0,0,0,0,0,0,21480,9044100,127103,NA
0,0,0,0,0,0,0,0,49920,32227200,127139,NA
0,0,0,0,0,0,0,0,24300,12693600,129258,NA
0,0,0,0,0,0,0,0,46260,24776100,125773,NA
0,0,0,0,0,0,0,202.45646525,51822.4264069,32233950,129261,NA
0,0,0,0,0,0,0,0,65220,40658400,125809,NA
0,0,0,0,0,0,0,0,115740,80503200,125824,NA
0,0,0,0,0,0,0,154.54790611,12000,203400,125833,NA
0,0,0,0,0,0,0,0,48840,29480400,125848,NA
0,0,0,0,0,0,0,0,137160,115688700,125849,NA
0,0,0,0,0,0,0,0,38460,29883600,125850,NA
0,0,0,0,0,0,0,0,92460,67970700,125851,NA
0,0,0,0,0,0,0,0,101820,116369100,125852,NA
0,0,0,0,0,0,0,0,8040,1949400,127216,NA
0,0,0,0,0,0,0,0,82500,77097600,127234,NA
0,0,0,0,0,0,0,0,55740,59851800,127365,NA
0,0,0,0,0,0,0,0,7620,849600,127368,NA
0,0,0,0,0,0,0,0,50682.4264069,31861350,129260,NA
0,0,0,0,0,0,0,0,16800,5675400,125863,NA
0,0,0,0,0,0,0,95.15679624,820080,425299500,127236,NA
0,0,0,0,0,0,0,0,27180,13235400,127567,NA
0,0,0,0,0,0,0,0,6840,852300,127572,NA
0,0,0,0,0,0,0,0,68580,34172100,127681,NA
0,0,0,0,0,0,0,0,114060,81917100,127797,NA
0,0,0,0,0,0,0,0,23940,6777000,127801,NA
0,0,0,0,0,0,0,0,11160,2856600,127817,NA
0,0,0,0,0,0,0,0,14940,4885200,127821,NA
0,0,0,0,0,0,0,0,255240,318763800,127822,NA
0,0,0,0,0,0,0,0,107100,118008000,127831,NA
0,0,0,0,0,0,0,0,101580,113384700,127835,NA
0,0,0,0,0,0,0,0,18000,6899400,127839,NA
0,0,0,0,0,0,0,0,44040,37777500,127841,NA
0,0,0,0,0,0,0,0,86820,79494300,127856,NA
0,0,0,0,0,0,0,0,83580,79553700,127862,NA
