"ws_id","lakeid"
47578,"17-5180-53389"
89283,"17-5310-52621"
109472,"15-6135-54228"
134185,"17-6257-50660"
125505,"18-3065-49990"
76120,"17-3120-53099"
46799,"17-5018-53686"
88991,"17-5962-53128"
71356,"16-3199-53954"
45281,"17-4935-53022"
129063,"18-3854-50393"
131694,"17-5799-49262"
132893,"17-6058-49199"
112776,"15-6143-55885"
125838,"18-3432-49661"
100225,"17-3172-51540"
100008,"17-3627-51660"
109326,"15-5849-54406"
100494,"17-3457-51246"
77131,"16-7004-52204"
100321,"17-3290-51439"
89286,"17-5289-52606"
125577,"18-3388-49903"
127036,"17-7331-50275"
78892,"16-3346-55390"
99538,"17-3370-52303"
126785,"18-3819-49343"
125394,"18-2900-50140"
111991,"15-5802-54916"
125848,"18-3122-49855"
70821,"16-3680-53921"
71256,"16-3723-53954"
71261,"16-3699-53936"
100403,"17-3360-51357"
106999,"15-6982-54104"
107287,"15-6804-53764"
93899,"17-3914-51928"
106973,"15-7128-54128"
125168,"15-4602-54790"
101673,"15-4593-54629"
135459,"17-6844-50137"
81022,"16-3744-54268"
107652,"15-6910-53378"
133568,"18-2850-49215"
96744,"17-5733-52151"
7449,"16-6697-54829"
77356,"17-2752-51845"
95231,"17-4235-50696"
50960,"17-5590-54756"
107429,"15-6832-53585"
71045,"15-7091-53688"
133988,"18-3661-49250"
79425,"16-3297-55263"
79260,"16-3557-55322"
90532,"17-4620-52125"
129258,"18-3587-49991"
99858,"17-3432-51760"
131445,"17-6026-49666"
85154,"16-3483-54344"
133909,"18-3714-49331"
101700,"15-4745-54662"
86408,"16-6053-54810"
102124,"15-4479-54411"
86576,"16-6398-54390"
99532,"17-3006-52333"
43983,"17-3280-52990"
105901,"15-4375-54620"
9501,"15-7043-56488"
76337,"17-2822-52479"
125439,"18-3264-50044"
90406,"17-3097-52494"
93714,"17-4759-52050"
100421,"17-3164-51328"
133615,"18-3490-49540"
124051,"15-6895-56512"
126640,"18-3651-49486"
44685,"17-3736-53361"
107737,"15-6867-53877"
43489,"17-3426-53189"
133702,"18-3632-49427"
133949,"18-3665-49300"
133796,"18-3580-49390"
126763,"18-3782-49339"
124877,"15-6733-56270"
133799,"18-3420-49390"
118129,"15-4613-57020"
111992,"15-6164-54885"
127797,"18-3511-50603"
100078,"17-3191-51595"
99748,"17-3091-51898"
125665,"18-3369-49845"
133632,"18-3434-49499"
134130,"18-3760-49200"
133977,"18-3660-49270"
93717,"17-4364-52017"
100322,"17-3813-51443"
107782,"15-5816-54402"
71255,"16-3706-53956"
83688,"16-3807-54539"
75200,"16-6718-52845"
77038,"17-2792-52332"
109921,"15-5678-53647"
136226,"18-3220-49677"
133011,"17-7074-49293"
121074,"15-3786-56088"
120525,"15-3895-55970"
109599,"15-5979-54059"
132695,"17-6712-49387"
71174,"16-2773-53446"
107709,"15-6843-53443"
81212,"16-3132-54041"
123623,"15-5192-56320"
120307,"15-5035-56302"
71112,"16-3666-53602"
107728,"15-6844-53328"
107713,"15-7053-53459"
94267,"17-3943-51700"
130010,"17-5585-50777"
125374,"17-7249-50200"
86844,"16-5087-55041"
129300,"18-3469-50088"
107718,"15-7025-53379"
132663,"17-6459-49524"
80924,"16-3700-54335"
89118,"17-5265-52901"
45237,"17-4372-52874"
134866,"17-6532-49909"
77357,"16-7100-51834"
125773,"18-3380-49750"
99617,"17-3094-52159"
52256,"17-5521-55108"
51781,"17-5662-55201"
70807,"16-3724-53935"
89296,"17-5312-52592"
100433,"17-3631-51330"
129905,"17-5352-50862"
130373,"17-5384-50622"
125430,"18-2790-50077"
133612,"18-3444-49557"
126628,"18-3640-49528"
133953,"18-3702-49303"
111952,"15-6048-54975"
132538,"17-7255-49721"
134342,"17-6239-50430"
75448,"16-6447-54048"
71282,"16-3488-53829"
7718,"16-6683-54413"
75232,"16-6678-52804"
129172,"18-3662-50545"
99971,"17-3764-51679"
77068,"16-6806-52259"
81648,"15-6931-55274"
90592,"17-4145-52197"
110137,"15-6253-53286"
77291,"17-2880-52035"
89362,"17-5717-53183"
81630,"16-3646-55478"
29080,"16-6292-60223"
81652,"15-7031-55216"
112067,"15-5503-54708"
7409,"16-7122-53960"
13619,"16-3492-57692"
132548,"17-7329-49698"
104421,"15-3982-55227"
105426,"15-4153-55253"
99941,"17-3400-51692"
100028,"17-3445-51613"
170,"16-6991-54320"
100521,"17-3856-51190"
127801,"18-3191-50636"
118006,"15-4525-57350"
116796,"15-3974-57298"
126367,"18-4082-49908"
84961,"16-4348-54546"
119997,"15-4356-57093"
133011,"17-7197-49373"
129091,"18-3808-50183"
131802,"17-6715-48930"
99202,"17-3810-51468"
135486,"17-6934-50060"
132647,"17-6744-49500"
97029,"17-5788-51912"
100487,"17-3716-51254"
100342,"17-3525-51387"
127368,"18-3280-50833"
126474,"18-3998-49356"
135669,"17-6807-49881"
94734,"17-4743-51217"
107465,"15-6958-53562"
90505,"17-4352-52392"
107479,"15-6723-53466"
94302,"17-4329-51689"
118554,"15-4414-56807"
54513,"15-5061-58179"
131616,"17-4665-48812"
71359,"15-7026-53901"
123556,"15-5605-56599"
94190,"17-4302-51759"
97017,"17-5515-51958"
97112,"17-5845-51854"
97628,"17-5942-51055"
