"survey_number","survey_effort_key","basin_number","TDO3"
2446,49,NA,"NA"
3321,1,NA,"23.9013167259786"
3321,14,NA,"23.9013167259786"
3326,7,NA,"24.4247103448276"
3407,16,NA,"22.0954072948328"
3408,17,NA,"17.478"
3409,13,NA,"22.4860789473684"
3415,55,NA,"10.5598227848101"
3415,56,NA,"10.5014848484848"
3445,25,NA,"21.4797333333333"
3446,12,NA,"18.1033398058252"
3451,1,NA,"NA"
3493,28,NA,"NA"
3494,35,NA,"22.4788181818182"
3496,43,NA,"NA"
3498,18,1,"21.3221321695761"
3499,22,1,"22.2591578947368"
3517,8,NA,"24.5760220820189"
3518,18,NA,"6.1222"
3518,19,NA,"7.12448275862069"
3518,20,NA,"14.4319647058824"
3522,16,NA,"16.0053869346734"
3525,4,NA,"NA"
3525,26,NA,"NA"
3528,6,NA,"8.52171698113208"
3529,6,NA,"21.7545788288288"
3530,8,NA,"NA"
3531,11,NA,"15.5437684210526"
3531,12,NA,"16.4022789473684"
3536,1,NA,"NA"
3536,27,NA,"NA"
3537,14,NA,"23.9381421121252"
3610,28,NA,"7.29550802139037"
3689,1,NA,"NA"
3689,22,NA,"NA"
3692,52,NA,"19.3519130434783"
3729,6,NA,"NA"
3730,1,NA,"NA"
3758,1,NA,"NA"
3758,20,NA,"NA"
3779,7,NA,"10.3054608294931"
3792,4,NA,"13.6651025641026"
3794,1,NA,"NA"
3794,13,NA,"NA"
3814,4,NA,"19.3375263157895"
3867,27,NA,"NA"
3868,25,NA,"NA"
3878,1,NA,"12.1793076923077"
3879,1,NA,"20.8412567567568"
3880,9,NA,"17.111"
3881,1,NA,"NA"
3884,1,NA,"7.222"
3931,11,NA,"NA"
3931,33,NA,"NA"
3933,1,NA,"16.7570465116279"
3963,1,NA,"12.3090331125828"
3963,70,NA,"12.3090331125828"
3980,1,NA,"10.2224"
4023,17,NA,"10.6588876404494"
4023,18,NA,"10.3981917808219"
4024,19,NA,"16.6944096385542"
4030,1,NA,"13.5904262295082"
4031,31,NA,"17.9029855072464"
4031,33,NA,"14.0135"
4031,34,NA,"NA"
4031,35,1,"18.6747781954887"
4032,19,NA,"NA"
4032,21,1,"20.8628596491228"
4033,20,NA,"NA"
4037,44,NA,"21.7128975903614"
4039,31,NA,"4.82166037735849"
4039,32,NA,"4.70679245283019"
4040,11,NA,"NA"
4042,7,NA,"23.9139090909091"
4053,40,NA,"16.639"
4081,24,NA,"18.9365238095238"
4082,18,NA,"10.388"
4085,4,NA,"NA"
4086,73,NA,"NA"
4087,4,NA,"19.84432"
4089,25,NA,"NA"
4090,12,NA,"21.5247625899281"
4134,34,NA,"20.6263693693694"
4135,41,NA,"14.5546342975207"
4136,10,NA,"8.11613043478261"
4136,11,NA,"13.889"
4137,10,NA,"8.11358139534884"
4156,29,NA,"17.0868571428571"
4165,34,NA,"23.7901111111111"
4169,34,NA,"NA"
4181,36,NA,"23.164410041841"
4198,22,NA,"NA"
4210,33,NA,"18.4652012448133"
4266,22,NA,"7.37084210526316"
4299,22,NA,"19.1921965065502"
4326,19,NA,"18.6177419354839"
4336,1,NA,"20.9871662198391"
4491,18,NA,"12.7526026785714"
4509,105,NA,"NA"
4544,38,NA,"18.2705148514851"
4552,37,NA,"NA"
4553,29,1,"16.8292105263158"
4554,21,NA,"18.7633602150538"
4555,14,NA,"20.2632292993631"
4576,20,NA,"22.5"
4584,35,1,"21.3129185667752"
4604,31,1,"18.3015897435897"
4604,31,2,"18.2880952380952"
4604,31,3,"18.4269883268482"
4605,18,NA,"20.7798339694656"
4609,20,1,"19.869412987013"
4609,20,2,"19.2140273972603"
4609,20,3,"20.365125"
4667,70,NA,"NA"
4669,63,NA,"NA"
4673,37,NA,"NA"
4675,40,NA,"17.4219346733668"
4713,15,NA,"NA"
4732,27,NA,"18.2575918367347"
4741,32,NA,"7.62791078066915"
4741,33,1,"20.847"
4742,34,1,"13.9995652173913"
4742,34,2,"18.814966442953"
4743,20,1,"13.0842444444444"
4760,34,1,"10.8192763819095"
4771,28,1,"20.6586744186047"
4854,26,1,"16.5740446735395"
4855,25,NA,"6.7242027027027"
4915,21,NA,"15.5642239583333"
4916,19,NA,"21.3515228215768"
4919,16,1,"17.052"
4935,55,NA,"NA"
4968,38,1,"NA"
5202,23,1,"22.3672173913043"
5202,23,2,"21.2811360544218"
5202,23,3,"22.064170212766"
5234,14,1,"20.1190801393728"
5368,1,NA,"20.9262507739938"
5371,1,NA,"8.35484444444444"
5372,1,NA,"15.4619166666667"
5373,1,NA,"20.3534183123878"
5375,1,NA,"18.4552061068702"
5387,1,NA,"15.6825957446809"
5408,38,NA,"NA"
5426,22,NA,"NA"
5473,27,NA,"NA"
5505,20,1,"10.6489254658385"
5505,20,2,"11.7672112676056"
5506,38,NA,"18.2977692307692"
5508,23,1,"20.4825422535211"
5508,23,2,"9.38851923076923"
5508,23,3,"22.51375"
5509,28,1,"19.6282882882883"
5509,28,2,"18.5915333333333"
5510,73,NA,"NA"
5511,42,NA,"18.955197080292"
5518,12,NA,"12.3181379310345"
5736,25,NA,"NA"
5759,39,NA,"20.6455789473684"
5998,1,NA,"18.5460920245399"
5999,1,1,"19.770375"
5999,1,2,"13.360992"
5999,1,3,"19.9752131147541"
5999,1,4,"19.2969379310345"
5999,1,5,"18.9450434782609"
5999,1,6,"19.324773006135"
