"new_key","survey_number","nhdid","gear2","effort_new","fish_count_new","year","day_of_year","secchi_m","lake_area_m2","maxdepth_m","ws_forest_prop","ws_wetland_prop","surface_temp_c","FMU_Code","LONG_DD","LAT_DD"
"1-113",4587,83976679,"FT_NET",2,7,2004,166,NA,150604.523693901,NA,0.57537,0.21923,NA,"MI-MNH",-83.60803,44.60399
"1-113",4587,83976679,"GILL",2,0,2004,166,NA,150604.523693901,NA,0.57537,0.21923,NA,"MI-MNH",-83.60803,44.60399
"1-113",4587,83976679,"SHOCK",30,48,2004,169,NA,150604.523693901,NA,0.57537,0.21923,NA,"MI-MNH",-83.60803,44.60399
"1-138",7942,113471599,"FT_NET",15,64,2009,159,NA,388745.447047873,8.54,0.50246,0.0389,NA,"MI-MNH",-83.86954,44.73555
"1-138",7942,113471599,"GILL",4,8,2009,159,NA,388745.447047873,8.54,0.50246,0.0389,NA,"MI-MNH",-83.86954,44.73555
"1-16",7558,83976899,"FT_NET",8,20,2008,148,5.18292682926829,351013.799239205,28.96,0.74668,0.13215,NA,"MI-MNH",-83.69899,44.57055
"1-16",7558,83976899,"GILL",4,0,2008,148,5.18292682926829,351013.799239205,28.96,0.74668,0.13215,NA,"MI-MNH",-83.69899,44.57055
"1-165",2446,113471457,"FT_NET",63,0,2006,128,3.65853658536585,35513773.6595039,25.3,0.51789,0.1997,27.656,"MI-MNH",-83.55954,44.80416
"1-165",2446,113471457,"GILL",17,0,2006,150,3.65853658536585,35513773.6595039,25.3,0.51789,0.1997,27.656,"MI-MNH",-83.55954,44.80416
"1-165",2446,113471457,"SHOCK",30,0,2006,187,3.65853658536585,35513773.6595039,25.3,0.51789,0.1997,27.656,"MI-MNH",-83.55954,44.80416
"1-29",6298,83977025,"FT_NET",18,57,2006,156,1.98170731707317,457137.338027599,NA,0.64311,0.0846,26.311,"MI-MNH",-83.7276,44.53916
"1-29",6298,83977025,"GILL",4,3,2006,157,1.98170731707317,457137.338027599,NA,0.64311,0.0846,26.311,"MI-MNH",-83.7276,44.53916
"1-4",4079,83976953,"FT_NET",36,4,2003,160,NA,3921797.17696572,NA,0.71165,0.12604,NA,"MI-MNH",-83.80491,44.56605
"1-4",4079,83976953,"GILL",10,0,2003,160,NA,3921797.17696572,NA,0.71165,0.12604,NA,"MI-MNH",-83.80491,44.56605
"1-52",8992,122383359,"FT_NET",22,8,2011,157,2.04268292682927,576252.71700862,3.05,0.23234,0.12601,22.972,"MI-MNH",-83.33204,44.53138
"1-52",8992,122383359,"GILL",8,1,2011,157,2.04268292682927,576252.71700862,3.05,0.23234,0.12601,22.972,"MI-MNH",-83.33204,44.53138
"1-52",8992,122383359,"SEINE",6,0,2011,160,2.04268292682927,576252.71700862,3.05,0.23234,0.12601,22.972,"MI-MNH",-83.33204,44.53138
"1-52",8992,122383359,"SHOCK",30,2,2011,158,2.04268292682927,576252.71700862,3.05,0.23234,0.12601,22.972,"MI-MNH",-83.33204,44.53138
"1-63",6258,83976631,"FT_NET",4,5,2006,136,6.25,44167.5650115333,10.37,0.8354,0.05377,23.372,"MI-MNH",-83.88232,44.64138
"1-63",6258,83976631,"GILL",4,4,2006,136,6.25,44167.5650115333,10.37,0.8354,0.05377,23.372,"MI-MNH",-83.88232,44.64138
"1-97",4966,83976721,"FT_NET",6,14,2004,166,NA,143717.92930274,NA,0.89234,0.00738,NA,"MI-MNH",-83.6551,44.60166
"1-97",4966,83976721,"GILL",4,10,2004,166,NA,143717.92930274,NA,0.89234,0.00738,NA,"MI-MNH",-83.6551,44.60166
"10-111",5371,129225129,"FT_NET",9,47,2004,166,3.26981707317073,2024802.80401441,24.09,0.63604,0.06802,21.611,"MI-MCM",-85.84982,44.71554
"10-111",5371,129225129,"GILL",9,2,2004,166,3.26981707317073,2024802.80401441,24.09,0.63604,0.06802,21.611,"MI-MCM",-85.84982,44.71554
"10-111",5371,129225129,"SEINE",5,1,2004,181,3.26981707317073,2024802.80401441,24.09,0.63604,0.06802,21.611,"MI-MCM",-85.84982,44.71554
"10-111",5371,129225129,"SHOCK",42.46666667,30,2004,181,3.26981707317073,2024802.80401441,24.09,0.63604,0.06802,21.611,"MI-MCM",-85.84982,44.71554
"10-19",5373,129224203,"FT_NET",9,56,2004,145,2.51524390243902,2316941.42527619,8.54,0.32674,0.27425,20.372,"MI-MCM",-86.18176,44.56193
"10-19",5373,129224203,"GILL",9,7,2004,145,2.51524390243902,2316941.42527619,8.54,0.32674,0.27425,20.372,"MI-MCM",-86.18176,44.56193
"10-19",5373,129224203,"SEINE",3,0,2004,182,2.51524390243902,2316941.42527619,8.54,0.32674,0.27425,20.372,"MI-MCM",-86.18176,44.56193
"10-19",5373,129224203,"SHOCK",31.95,40,2004,182,2.51524390243902,2316941.42527619,8.54,0.32674,0.27425,20.372,"MI-MCM",-86.18176,44.56193
"10-24",4744,129224200,"FT_NET",9,11,2004,145,NA,1805090.96798996,17.99,0.77414,0.02066,NA,"MI-MCM",-86.21482,44.56471
"10-24",4744,129224200,"GILL",9,1,2004,145,NA,1805090.96798996,17.99,0.77414,0.02066,NA,"MI-MCM",-86.21482,44.56471
"10-24",4744,129224200,"SEINE",4,0,2004,183,NA,1805090.96798996,17.99,0.77414,0.02066,NA,"MI-MCM",-86.21482,44.56471
