"ihdlkid","new_key","survey_number.x","survey_number.y","lake_area_ac","lake_perim_km","lake_order","lake_link_num","uplakes_n","uplakes_area_ac","downlakes_n","downlakes_area_ac","ws_area_km2","maxdepth_ft","meandepth_ft","lake_area_ha.x","ws_urban_prop","ws_forest_prop","ws_agriculture_prop","ws_shrub_prop","ws_wetland_prop","ws_slope_deg","ws_mean_elevation_m","armoring_mean","smdocks_km","lgdocks_km","totdocks_km","trees_km","houses_km","secchi_ft","lake_area_ha.y","dd_mean","surface_temp_mean","secchi_m","lake_area_m2","maxdepth_m","geom_ratio"
973,NA,NA,NA,13.58358141,1.02,0,-99,-99,-99,-99,-99,0.2375,NA,NA,5.497,0.02905,0.82442,0,0.03326,0.05053,7.43,417.23,NA,NA,NA,NA,NA,NA,NA,5.497,3700.24161016667,16.1267999477778,NA,54969.7762534904,NA,NA
998,NA,NA,NA,9.120882364,0.82,0,-99,-99,-99,-99,-99,0.1745,NA,NA,3.691,0,0.89914,0,0,0.06304,6.42,397.245,NA,NA,NA,NA,NA,NA,NA,3.691,3525.68615838889,16.1802653866667,NA,36910.211500951,NA,NA
1028,NA,NA,NA,14.39575761,1,0,-99,-99,-99,-99,-99,1.722,NA,NA,5.826,0.02514,0.86969,0.01394,0.02892,0.05662,3.97,402.613984,NA,NA,NA,NA,NA,NA,NA,5.826,3503.62047438889,16.0834528977778,NA,58256.4752944033,NA,NA
1142,NA,NA,NA,5.341017087,0.85,0,-99,-99,-99,-99,-99,0.1486,NA,NA,2.161,0,0.91184,0,0,0.04105,5.24,439.338984,NA,NA,NA,NA,NA,NA,NA,2.161,3526.58314838889,16.2173454961111,NA,21613.9253247542,NA,NA
1475,NA,NA,NA,27.23018884,1.33,0,-99,-99,-99,-99,-99,1.1512,NA,NA,11.02,0.04222,0.66097,0.13473,0,0.13551,0.38,285.334004,NA,NA,NA,NA,NA,NA,NA,11.02,3656.02439066667,16.0318421444444,NA,110194.604993727,NA,NA
1887,NA,NA,NA,5.942503968,1.36,0,-99,-99,-99,-99,-99,0.4977,NA,NA,2.405,0,0.87523,0,0.02672,0.09805,3.19,220.525,NA,NA,NA,NA,NA,NA,NA,2.405,3719.74515683333,16.2915701522222,NA,24048.0108777468,NA,NA
2086,NA,NA,NA,11.2440945,1.35,0,-99,-99,-99,-99,-99,0.8522,NA,NA,4.55,0.00634,0.91398,0,0.01291,0.03884,3.04,378.211992,NA,NA,NA,NA,NA,NA,NA,4.55,3502.31817155556,15.9270943394444,NA,45502.3855772733,NA,NA
2187,NA,NA,NA,8.26742407,0.96,0,-99,-99,-99,-99,-99,1.3875,NA,NA,3.346,0.00728,0.8212,0,0.01311,0.09434,1.11,253.011992,NA,NA,NA,NA,NA,NA,NA,3.346,3596.306833,16.1173063938889,NA,33456.4528752378,NA,NA
2481,NA,NA,NA,10.85589277,1.21,0,-99,-99,-99,-99,-99,0.1074,NA,NA,4.393,0.01862,0.30447,0,0,0,0.91,245.005,NA,NA,NA,NA,NA,NA,NA,4.393,3734.36195166667,16.0610193472222,NA,43931.418275262,NA,NA
2913,NA,NA,NA,81.6784987,2.79,0,-99,-99,-99,-99,-99,1.6863,NA,NA,33.055,0.05995,0.74139,0,0.02034,0.13858,2.35,364.836016,NA,NA,NA,NA,NA,NA,NA,33.054,3500.53312422222,15.5722152022222,NA,330534.979159079,NA,NA
3007,NA,NA,NA,9.597086007,2.01,0,-99,-99,-99,-99,-99,0.6001,NA,NA,3.884,0,0.50126,0,0,0.47225,2.83,358.706016,NA,NA,NA,NA,NA,NA,NA,3.884,3520.29235133333,15.9986766038889,NA,38837.3032536118,NA,NA
3151,NA,NA,NA,5.687938962,1.05,0,-99,-99,-99,-99,-99,0.3103,NA,NA,2.302,0,0.40703,0,0,0.59298,0.95,319.735996,NA,NA,NA,NA,NA,NA,NA,2.302,3586.13703577778,16.08991727,NA,23017.8421027073,NA,NA
3207,NA,NA,NA,7.091318903,0.91,0,-99,-99,-99,-99,-99,0.2192,NA,NA,2.87,0,0.76642,0,0,0.18568,2.18,368.333984,NA,NA,NA,NA,NA,NA,NA,2.87,3523.71077355556,16.2384425016667,NA,28697.0130832423,NA,NA
3216,NA,NA,NA,6.910314684,1.37,1,0,0,0,3,9737.204671,0.2282,NA,NA,2.797,0.00833,0.53857,0.30018,0.00175,0.15118,1.2,259.253008,NA,NA,NA,NA,NA,NA,NA,2.797,3689.25793272222,16.4920016872222,NA,27964.528687629,NA,NA
3934,NA,NA,NA,7.120777899,0.82,0,-99,-99,-99,-99,-99,0.3621,NA,NA,2.882,0.02182,0.61281,0,0,0.32891,1.68,380.995,NA,NA,NA,NA,NA,NA,NA,2.882,3516.9619985,16.2344449611111,NA,28816.2271822265,NA,NA
3958,NA,NA,NA,7.337766826,0.72,0,-99,-99,-99,-99,-99,0.493,NA,NA,2.97,0.02698,0.77627,0,0,0.15862,4.15,561.361016,NA,NA,NA,NA,NA,NA,NA,2.97,3280.96037961111,15.9830642072222,NA,29694.3338027599,NA,NA
4032,NA,NA,NA,51.8783071,2.17,0,-99,-99,-99,-99,-99,1.6848,NA,NA,20.995,0.01888,0.5168,0,0,0.336,4.13,561.301016,NA,NA,NA,NA,NA,NA,NA,20.994,3182.63582538889,15.1736051622222,NA,209940.136376512,NA,NA
5000,NA,NA,NA,5.783175688,0.69,1,0,0,0,4,10504.05056,0.13,NA,NA,2.34,0,0.90153,0,0.02,0.07846,2.01,557.518008,NA,NA,NA,NA,NA,NA,NA,2.34,3416.42491805556,16.0967212894444,NA,23403.2442555947,NA,NA
5105,NA,NA,NA,5.523797101,0.68,0,-99,-99,-99,-99,-99,0.334,NA,NA,2.235,0.04431,0.55419,0,0.3503,0.0491,1.59,390.326016,NA,NA,NA,NA,NA,NA,NA,2.235,3520.73515583333,16.3524264094444,NA,22353.5959734531,NA,NA
5180,NA,NA,NA,7.855346099,1.26,2,2,1,6,4,10504.05056,1.0225,NA,NA,3.179,0.00313,0.87814,0,0.04156,0.07188,3.9,546.083984,NA,NA,NA,NA,NA,NA,NA,3.179,3344.04387966667,15.6836749366667,NA,31788.8636599085,NA,NA
5215,NA,NA,NA,5.690418589,0.75,1,1,1,23,16,15750.77367,0.1211,NA,NA,2.303,0.11808,0.83402,0,0,0.04789,6.49,556.003984,NA,NA,NA,NA,NA,NA,NA,2.303,3188.61141966667,15.9022973538889,NA,23027.8766096071,NA,NA
