"new_key","gear","effort_sum","largemouthbass_sum","julian","lake_area_m2","max_depth_m","ws_forest_prop","ws_wetland_prop","dd_year","surface_temp_year","MGMT_UNIT","secchi_combo"
"1-165","FT_net",2,0,243,35513773.6595039,25.3,0.51789,0.1997,4156.833811,14.54248,"Northern Lake Huron",3.659
"1-165","gill",4,0,243,35513773.6595039,25.3,0.51789,0.1997,4156.833811,14.54248,"Northern Lake Huron",3.659
"1-29","seine",14,8,205,457137.338027599,21.03,0.64311,0.0846,4375.830815,15.958,"Northern Lake Huron",1.982
"1-61","gill",2,0,197,51328.1018979402,6.71,0.79524,0.13505,4090.965968,17.14776,"Northern Lake Huron",NA
"1-61","seine",14,17,197,51328.1018979402,6.71,0.79524,0.13505,4090.965968,17.14776,"Northern Lake Huron",NA
"10-19","gill",17,0,243,2316941.42527619,8.54,0.32674,0.27425,4936.740548,16.8788,"Central Lake Michigan",2.515
"10-19","seine",18,0,243,2316941.42527619,8.54,0.32674,0.27425,4936.740548,16.8788,"Central Lake Michigan",2.515
"10-39","FT_net",1,0,182,10244073.805188,27.44,0.54657,0.19885,4485.897119,15.47903,"Central Lake Michigan",4.08
"10-39","gill",12,0,182,10244073.805188,27.44,0.54657,0.19885,4485.897119,15.47903,"Central Lake Michigan",4.08
"12-21","gill",15,1,173,465751.200679859,7.62,0.03524,0.12528,6192.255752,18.45095,"Southern Lake Michigan",3.354
"12-21","seine",38,108,173,465751.200679859,7.62,0.03524,0.12528,6192.255752,18.45095,"Southern Lake Michigan",3.354
"12-84","gill",2,0,217,192962.860507466,7.01,0.16381,0.33666,5243.788673,17.10654,"Southern Lake Michigan",NA
"13-144","gill",3,0,211,288533.056654931,14.02,0.3024,0.12622,5909.977086,17.37357,"Southern Lake Michigan",3
"13-355","gill",17,2,217,221436.959694063,14.63,0.72026,0.12204,5370.618737,17.07902,"Southern Lake Michigan",NA
"14-158","gill",9,8,201,476622.109586824,17.99,0.44447,0.0713,6358.64829,17.49429,"Southern Lake Michigan",2.4
"14-158","seine",10,19,201,476622.109586824,17.99,0.44447,0.0713,6358.64829,17.49429,"Southern Lake Michigan",2.4
"14-224","gill",20,10,248,984861.564485452,21.65,0.18297,0.0479,5892.744185,17.04296,"Southern Lake Michigan",1.6
"14-224","seine",20,10,248,984861.564485452,21.65,0.18297,0.0479,5892.744185,17.04296,"Southern Lake Michigan",1.6
"14-289","gill",19,13,254,1204796.65290761,22.87,0.32921,0.11204,5875.645529,16.88575,"Southern Lake Michigan",2.066
"14-289","seine",32,34,254,1204796.65290761,22.87,0.32921,0.11204,5875.645529,16.88575,"Southern Lake Michigan",2.066
"14-33","gill",8,2,199,238220.941726357,6.71,0.51723,0.08147,6123.646762,17.95295,"Southern Lake Michigan",NA
"14-33","seine",2,1,199,238220.941726357,6.71,0.51723,0.08147,6123.646762,17.95295,"Southern Lake Michigan",NA
"14-390","seine",12,63,257,1060995.07992392,17.38,0.23347,0.10117,5331.462763,16.74149,"Southern Lake Michigan",3.587
"14-391","seine",14,4,252,973500.235117964,14.63,0.45062,0.21445,5204.440946,16.61095,"Southern Lake Michigan",3.342
"15-2","gill",2,0,218,127004.047104528,9.45,0.86744,0.01965,3903.344222,16.50422,"Northern Lake Huron",NA
"15-25","gill",53,12,226,18521339.5168144,31.4,0.6167,0.04374,4480.82812,15.26787,"Central Lake Michigan",4.973
"15-25","seine",39,34,226,18521339.5168144,31.4,0.6167,0.04374,4480.82812,15.26787,"Central Lake Michigan",4.973
"16-144","gill",5,0,184,40915495.8115819,15.55,0.54113,0.26434,4114.694683,15.2947,"Northern Lake Huron",4.213
"16-252","gill",16,7,164,15081860.2889401,25.61,0.38371,0.47461,3565.065847,14.30256,"Northern Lake Huron",3.963
"16-82","gill",1,0,226,273532.267654081,26.52,0.42706,0.0215,4418.581474,16.08886,"Northern Lake Huron",7.317
"17-413","gill",2,0,193,494799.808182591,9.15,0.88289,0.03133,3586.774557,15.45618,"Eastern Lake Superior",NA
"18-150","gill",5,11,229,210211.535065356,15.85,0.2758,0.19496,4224.757804,15.99318,"Central Lake Michigan",2.9
"18-150","seine",4,4,229,210211.535065356,15.85,0.2758,0.19496,4224.757804,15.99318,"Central Lake Michigan",2.9
"18-2","gill",4,0,257,155411.178989114,11.734,0.27677,0.50541,5062.895799,16.99795,"Southern Lake Huron",NA
"18-206","gill",6,1,163,708576.365990854,10.98,0.30565,0.00413,4701.288199,16.75396,"Southern Lake Huron",4.268
"18-206","seine",5,1,163,708576.365990854,10.98,0.30565,0.00413,4701.288199,16.75396,"Southern Lake Huron",4.268
"18-215","gill",6,0,219,274121.450285298,18.6,0.38243,0.02759,4149.86307,15.71345,"Southern Lake Huron",6.707
"18-215","seine",3,7,219,274121.450285298,18.6,0.38243,0.02759,4149.86307,15.71345,"Southern Lake Huron",6.707
"18-296","gill",10,2,226,841673.864270972,23.17,0.68092,0.07655,4288.267021,16.01177,"Central Lake Michigan",5.45
"18-296","seine",12,26,226,841673.864270972,23.17,0.68092,0.07655,4288.267021,16.01177,"Central Lake Michigan",5.45
"2-124","gill",2,0,209,322648.255554207,5.49,0.55496,0.33585,3775.736777,16.39766,"Northern Lake Michigan",NA
"2-124","seine",1,0,209,322648.255554207,5.49,0.55496,0.33585,3775.736777,16.39766,"Northern Lake Michigan",NA
"2-188","gill",2,0,197,139244.377402776,12.5,0.33582,0.0226,3530.81575,15.76698,"Northern Lake Michigan",NA
"2-188","FT_net",3,0,197,139244.377402776,12.5,0.33582,0.0226,3530.81575,15.76698,"Northern Lake Michigan",NA
