"new_key","survey_number","gear2","effort_new","fish_count_new","date","year","julian","SECCHI_FT","secchi_m","ihdlkid","lake_area_ac","lake_perim_km","lake_order","lake_link_num","uplakes_n","uplakes_area_ac","downlakes_n","downlakes_area_ac","ws_area_km2","lake_area_km2","lake_area_m2","maxdepth_ft","meandepth_ft","maxdepth_m","meandepth_m","geom_ratio","ws_urban_prop","ws_forest_prop","ws_agriculture_prop","ws_shrub_prop","ws_wetland_prop","ws_slope_deg","ws_mean_elevation_m","lake_area_ha","dd_mean","surface_temp_mean","LONG_DD","LAT_DD","FMU_Code"
"1-113",4587,"FT_NET",3,7,2004-06-14,2004,166,NA,NA,83976679,37.21588385,2.73,1,1,1,14,2,1420.808311,0.9898,0.15,150604.523693901,NA,NA,NA,NA,NA,0.03304,0.57537,0.02657,0.05183,0.21923,4.36,250.618008,27.608,4053.67053044444,16.2446015438889,-83.60803,44.60399,"MI-MNH"
"1-113",4587,"GILL",2,0,2004-06-14,2004,166,NA,NA,83976679,37.21588385,2.73,1,1,1,14,2,1420.808311,0.9898,0.15,150604.523693901,NA,NA,NA,NA,NA,0.03304,0.57537,0.02657,0.05183,0.21923,4.36,250.618008,27.608,4053.67053044444,16.2446015438889,-83.60803,44.60399,"MI-MNH"
"1-113",4587,"SHOCK",30,48,2004-06-17,2004,169,NA,NA,83976679,37.21588385,2.73,1,1,1,14,2,1420.808311,0.9898,0.15,150604.523693901,NA,NA,NA,NA,NA,0.03304,0.57537,0.02657,0.05183,0.21923,4.36,250.618008,27.608,4053.67053044444,16.2446015438889,-83.60803,44.60399,"MI-MNH"
"1-138",7942,"FT_NET",17,65,2009-06-08,2009,159,NA,NA,113471599,96.06288742,5.25,0,-99,-99,-99,-99,-99,1.1386,0.39,388745.447047873,28,12.41684399,8.54,3.79,2.92387268587679,0.14158,0.50246,0.06473,0.1854,0.0389,3.55,301.961992,38.927,4372.88288305555,16.6346381738889,-83.86954,44.73555,"MI-MNH"
"1-138",7942,"GILL",4,8,2009-06-08,2009,159,NA,NA,113471599,96.06288742,5.25,0,-99,-99,-99,-99,-99,1.1386,0.39,388745.447047873,28,12.41684399,8.54,3.79,2.92387268587679,0.14158,0.50246,0.06473,0.1854,0.0389,3.55,301.961992,38.927,4372.88288305555,16.6346381738889,-83.86954,44.73555,"MI-MNH"
"1-16",7558,"FT_NET",10,25,2008-05-27,2008,148,17,5.18292682926829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-16",7558,"GILL",4,0,2008-05-27,2008,148,17,5.18292682926829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-165",2446,"FT_NET",68,0,2006-05-08,2006,128,12,3.65853658536585,113471457,8775.808609,35.91,4,80,5,201,3,1747.489607,15.2515,35.53,35513773.6595039,83,36.20048251,25.3,11.04,3.05125626709953,0.17341,0.51789,0.01445,0.05398,0.1997,3.94,235.763008,3548.219,4225.23808011111,14.5973984566667,-83.55954,44.80416,"MI-MNH"
"1-165",2446,"GILL",17,0,2006-05-30,2006,150,12,3.65853658536585,113471457,8775.808609,35.91,4,80,5,201,3,1747.489607,15.2515,35.53,35513773.6595039,83,36.20048251,25.3,11.04,3.05125626709953,0.17341,0.51789,0.01445,0.05398,0.1997,3.94,235.763008,3548.219,4225.23808011111,14.5973984566667,-83.55954,44.80416,"MI-MNH"
"1-165",2446,"SHOCK",30,0,2006-07-06,2006,187,12,3.65853658536585,113471457,8775.808609,35.91,4,80,5,201,3,1747.489607,15.2515,35.53,35513773.6595039,83,36.20048251,25.3,11.04,3.05125626709953,0.17341,0.51789,0.01445,0.05398,0.1997,3.94,235.763008,3548.219,4225.23808011111,14.5973984566667,-83.55954,44.80416,"MI-MNH"
