"new_key","fish_count_new","FMU_Code","z_lake_area","z_max_depth","z_secchi","z_doy","z_temp_mean_contemp","z_ws_forest","z_ws_wetland","z_temp_mean_hist","temp_mean_contemp","temp_mean_hist","group","effort","gear","gear_index","IND","doy_median","site","z_temp_change","dens_change","sum_dens_hist","sum_dens_cont"
"1-16",20,"MI-MNH",-0.646191155277779,1.26695548130227,1.09159015138641,-0.401316560411671,-0.304381670880643,1.06568438986798,-0.15635649218274,-0.403033848224723,15.77549,15.58937,4,1,"seine",3,1,-0.1325897,1,0.0986521773440798,0.232907099446939,4.47676322421884,4.70967032366578
"1-165",0,"MI-MNH",2.63901921957274,1.09186294585954,0.443821135686694,-1.29707286099905,-1.89027027437096,0.192557517749705,0.292982181371315,-1.91445485801702,14.35222,14.15268,4,1,"seine",3,1,-0.1325897,2,0.0241845836460552,0.0104189025126137,0.905700831165369,0.916119733677983
"1-63",5,"MI-MNH",-2.12115742034465,-0.0639468920100061,1.4397598487873,-0.938770340764096,0.546389204756389,1.46453081977659,-0.836268091681729,0.320766388963629,16.59633,16.32815,4,1,"seine",3,1,-0.1325897,3,0.22562281579276,0.950267528887696,7.61620754851424,8.56647507740193
"10-111",47,"MI-MCM",0.600764881480303,1.02835331028761,0.23491511469338,0.404864110116968,-0.481238655663086,0.628549804002318,-0.689267559150169,-0.590597585859268,15.61002,15.40344,1,1,"seine",3,1,-0.1325897,4,0.109358930196182,0.394348410111252,6.86535905395654,7.25970746406779
"10-19",56,"MI-MCM",0.696667137024945,-0.315556499054638,-0.253021075295597,-0.535680005499777,0.461383496433453,-0.515977464809171,0.725961043335624,-0.00233669029840656,16.51243,15.99413,1,1,"seine",3,1,-0.1325897,5,0.463720186731859,2.39425155891235,8.403976191268,10.7982277501804
"10-77",22,"MI-MCM",-1.41681673320989,-0.103277714487982,-0.0912002577380448,0.225712849999493,0.845476482795596,0.440296307003908,-1.59974992674001,0.632400010633949,16.89493,16.65692,1,1,"seine",3,1,-0.1325897,6,0.213076472161646,1.82626550358024,14.6401032079606,16.4663687115408
"10-95",70,"MI-MCM",-1.21819575195628,0.0450579557938886,0.0860543927581889,0.404864110116968,1.04146802581824,0.704647751257607,-0.547951999841605,0.83541384833389,17.09351,16.87465,1,1,"seine",3,1,-0.1325897,7,0.20605417748435,2.31649163707534,18.8765106780193,21.1930023150947
"12-21",381,"MI-MSM",-0.444940734601123,-0.463270851785498,0.282000318129149,-0.0430140401767201,1.5698441575858,-2.0420748621509,-0.206884451417111,1.92314908742784,17.64057,18.09064,7,1,"seine",3,1,-0.1325897,8,-0.353304929842033,-8.46604348807257,40.1263989597987,31.6603554717261
"12-23",32,"MI-MSM",0.2023258986758,0.534786595970762,0.195483965632788,-0.0430140401767201,0.613229350484087,-1.66564930723981,-0.551970408556308,1.05522035240255,16.6626,17.1136,7,1,"seine",3,1,-0.1325897,9,-0.44199100191846,-5.0831650553494,21.3171614541041,16.2339963987547
"12-86",18,"MI-MSM",-0.414801368382253,0.326859289351915,-1.5993408608443,-1.25228504596968,0.708274154263518,-1.64118811037185,1.6533052455766,1.10601678093002,16.75729,17.1693,7,1,"seine",3,1,-0.1325897,10,-0.397742626666501,-3.84004821250032,19.9726092356597,16.1325610231594
"12-90",23,"MI-MSM",1.41856236885366,1.23936735568566,0.662870043815085,-0.80440689567599,0.493785098988763,-1.70048459971283,0.0393277554777798,0.882347973564181,16.54436,16.92539,7,1,"seine",3,1,-0.1325897,11,-0.388562874575418,-5.19074227810651,22.875057298905,17.6843150207985
"14-154",3,"MI-MSM",-1.01448350486801,-1.12582423371506,-0.845270559291169,-0.983558155793465,2.24700530851705,-0.346582909841112,-0.291731946458426,2.1697476476967,18.36735,18.37828,7,1,"seine",3,1,-0.1325897,12,0.0772576608203441,1.36588849224257,25.7342034782925,27.1000919705351
"15-56",25,"MI-MCM",-0.382713812837938,-1.12582423371506,-0.0912002577380448,0.584015370234443,0.930103399720726,-0.350988217867548,-0.233684357221125,0.634417637677368,16.98039,16.65907,1,1,"seine",3,1,-0.1325897,13,0.295685762043358,2.10631144819194,11.7355064919644,13.8418179401564
"16-192",6,"MI-MNH",3.09693528027069,1.57001729890319,0.443821135686694,-0.0430140401767201,-1.79570261170514,0.157486133826714,0.139724656466014,-1.86444347380217,14.43337,14.19803,4,1,"seine",3,1,-0.1325897,14,0.0687408620970336,0.0329989866604019,0.934685286220301,0.967684272880703
"16-193",2,"MI-MNH",3.12586794102801,0.9077947967261,0.364670203493031,-0.222165300294195,-1.19662042652008,0.533514421321217,-0.556088407100232,-1.3218075753465,14.95822,14.69953,4,1,"seine",3,1,-0.1325897,15,0.125187148826422,0.0669167795883833,0.908640058307538,0.975556837895921
"16-194",28,"MI-MNH",-0.046849888345048,0.925968969970297,0.519740501132261,0.180925034970124,0.115803780468769,0.87300878437387,-0.0309050508353761,-0.242298505607987,16.17569,15.75049,4,1,"seine",3,1,-0.1325897,16,0.358102286076756,0.717939737736428,3.32060676500479,4.03854650274122
"16-252",51,"MI-MNH",2.02961116182363,1.10764524719547,0.592681857621888,-0.177377485264827,-2.03301712047443,-0.299352460540609,1.75454591740047,-1.94572286082619,14.23059,14.1244,4,1,"seine",3,1,-0.1325897,17,-0.0872942596482313,-0.0554962492746878,1.49317218220362,1.43767593292893
