"survey_number","survey_effort_key","basin_number","reading_datetime","surface_depth_m","surface_temp_c","surface_do_mgl","bottom_depth_m","bottom_temp_c","bottom_do_mgl","thermo_depth_m"
2446,49,NA,"8/8/06",0.002,27.656,8.58,23.884,11.767,3.21,19.1656460243536
3321,1,NA,"8/27/02",0.082,25.344,8.73,2.963,23.056,0.3,2.23961421758834
3321,14,NA,"8/27/02",0,25.344,8.73,3.048,23.056,0.3,2.23719700480548
3326,7,NA,"9/10/02",0.065,25.906,8.3,4.328,21.928,0.15,4.0105
3407,16,NA,"8/20/02",0.203,24.933,8.63,9.145,11.839,0.07,4.51821455770356
3408,17,NA,"8/16/02",0.192,25.322,9.63,8.536,16.833,0.68,6.29740557394311
3409,13,NA,"8/22/02",0.061,24.783,10.26,10.524,7.794,0.06,5.31477694684732
3415,55,NA,"8/15/02",0.033,25.583,9.37,30.188,8.5,0.09,8.60954155614006
3415,56,NA,"8/15/02",0.075,25.772,9.33,30.186,10.161,0.4,8.00547351909166
3445,25,NA,"8/20/02",0,23.778,8.7,10.972,12.333,0.2,5.71549594580762
3446,12,NA,"8/26/02",0,23.95,9.34,12.801,11.2,0.06,6.61439738372791
3451,1,NA,"8/27/02",0.258,24.3,10.34,12.281,22.583,5.65,12.099
3493,28,NA,"8/13/03",0,26.71,9.2,3.962,24.18,8.7,0.457
3494,35,NA,"8/13/03",0.065,27.833,8.1,8.87,19.333,0.2,0.492
3496,43,NA,"8/12/03",0,24,8.8,5.187,23.556,7.9,NA
3498,18,1,"8/9/04",0.006,22.2,10.23,5.014,21.15,0.49,4.828
3499,22,1,"8/9/04",0.012,23.028,8.48,2.963,21.961,0.18,2.83882840958479
3517,8,NA,"9/10/02",0.112,26.161,8.83,6.385,20.956,0.1,5.95381348130355
3518,18,NA,"8/23/02",0,24.167,8.72,32.307,6.067,1.66,6.98236927874582
3518,19,NA,"8/23/02",0,23.967,8.46,19.811,6.7,0.06,6.7848501432731
3518,20,NA,"8/23/02",0,24.056,9.25,17.373,9.611,0.09,6.15145941832961
3522,16,NA,"8/23/02",0.003,23.639,9.48,13.218,12.222,0.23,8.83694409772027
3525,4,NA,"8/22/02",1.036,22.611,10.5,6.98,22.556,8.3,NA
3525,26,NA,"8/22/02",0.021,21.044,9.64,6.984,22.561,8.27,6.17779955884377
3528,6,NA,"8/20/02",0,23.333,10.22,19.811,6.111,0.37,5.1368756499108
3529,6,NA,"8/26/02",0.152,23.333,11.08,6.096,20,1.14,5.791
3530,8,NA,"8/21/02",0.127,24.839,8.29,5.018,23.889,7.27,NA
3531,11,NA,"8/19/02",0.17,24.839,9.83,14.616,6.939,0.09,3.87461308925774
3531,12,NA,"8/19/02",0.076,25.128,9.54,8.558,9.839,0.17,3.87522341026758
3536,1,NA,"8/21/02",0,22.778,9.5,9.174,15,4.1,7.78072247725024
3536,27,NA,"8/21/02",0.049,22.789,9.55,9.186,15.022,4.08,7.79403666719833
3537,14,NA,"9/5/02",0,24.994,8.81,6.096,23.667,0.47,5.791
3610,28,NA,"8/14/02",0.001,20.772,9.29,34.785,4.889,0.09,0.0045
3689,1,NA,"8/23/02",0,22.278,10.6,5.09,22.167,8.2,NA
3689,22,NA,"8/23/02",0.2,22.283,10.6,5.076,22.189,8.18,NA
3692,52,NA,"8/29/02",0.909,21.994,12.56,8.272,13.561,0.4,5.99430327984073
3729,6,NA,"8/28/02",0.275,22.683,10.36,2.282,22.022,10.17,NA
3730,1,NA,"8/28/02",0.249,22.778,10.62,4.942,22.006,6.14,NA
3758,1,NA,"8/15/02",0,25.056,8.96,7.254,16.056,3.28,5.78042837907429
3758,20,NA,"8/15/02",0.113,25.056,8.96,7.26,16.067,3.28,5.76235529289527
3779,7,NA,"8/22/02",0.031,24.028,9.94,13.096,7.139,0.21,4.87368245734033
3792,4,NA,"9/4/02",0,21.394,9.51,16.154,10.039,0.16,11.6781730288141
3794,1,NA,"8/15/02",0,24.167,9.13,2.133,23.944,8.88,NA
3794,13,NA,"8/15/02",0.003,25.628,8.33,2.147,23.922,8.88,0.0095
3814,4,NA,"8/23/02",0.049,22.072,5.92,8.833,7.011,0.22,4.17097820252989
3867,27,NA,"8/14/02",0.016,25.272,8.7,5.904,20.878,10.12,5.739
3868,25,NA,"8/19/02",0,23.711,9.26,9.535,22.25,5.47,9.3675
3878,1,NA,"8/20/02",0.305,21.111,10.1,6.4,9.444,0.1,2.3451211560035
3879,1,NA,"8/20/02",0.305,22.778,10,6.096,17.222,0.1,5.3111297694946
3880,9,NA,"8/19/02",0,22.333,9.1,13.106,9.778,0.6,3.39828087809947
3881,1,NA,"9/4/02",0.305,21.111,12.3,5.791,20.556,7.5,NA
3884,1,NA,"9/6/02",0,21.111,11.2,23.773,6.667,0,8.49731634997904
3931,11,NA,"9/3/02",0.197,21.461,8.14,5.588,21.467,4.68,NA
3931,33,NA,"9/3/02",0.197,21.461,8.14,5.588,21.467,4.68,NA
3933,1,NA,"9/9/02",0,23.889,7.5,7.01,8.333,0.2,1.4617687792124
3963,1,NA,"9/4/02",0.028,19.75,7.88,17.854,12.078,1.62,9.6766503551647
3963,70,NA,"9/4/02",0.028,19.75,7.88,17.854,12.078,1.62,9.6766503551647
3980,1,NA,"9/11/02",0,21.667,8.6,10.058,10,2.6,6.72401558971611
4023,17,NA,"8/28/03",0,25.228,11,10.972,9.739,0.33,5.32385271138212
4023,18,NA,"8/28/03",0,25.317,12,12.496,8.956,0.2,5.39770936367667
4024,19,NA,"9/3/03",0.026,22.672,10.24,12.742,13.972,0.25,8.41586699889934
4030,1,NA,"8/25/03",0.095,25.528,9.37,8.227,6.844,0.3,2.9122702778734
4031,31,NA,"8/15/03",0.25,26.317,8.64,7.931,14.406,2.65,5.37325955871856
4031,33,NA,"8/15/03",0.249,26.4,8.81,13.695,8.267,2.26,5.04399013072964
4031,34,NA,"8/15/03",0.239,27.1,9.42,10.981,9.4,3.64,5.90477792922423
4031,35,1,"8/17/04",0,22.061,10.95,7.644,14.722,0.49,7.004
4032,19,NA,"8/18/03",0.258,27.817,8.61,1.856,26.7,9.02,0.443
4032,21,1,"8/17/04",0.006,22.039,7.37,2.374,20.722,0.41,1.71712000665305
4033,20,NA,"8/21/03",0.122,25.872,9.45,11.704,11.078,3.45,6.2080157501656
4037,44,NA,"8/26/03",0.013,24.1,9.23,4.007,20.739,0.47,3.8465
4039,31,NA,"8/18/03",0,26.667,9.22,23.773,3.889,0.12,5.30673461016546
4039,32,NA,"8/18/03",0.305,26.444,8.88,23.773,4,0.12,5.33147748223981
4040,11,NA,"8/22/03",0,24.444,8.8,2.743,23.333,8.6,1.90481296144381
4042,7,NA,"8/22/03",0.305,25.556,11.5,7.924,8.333,0.11,4.42800177883728
4053,40,NA,"8/19/03",0,24.444,9.2,8.229,12.778,0.2,4.54372575532444
4081,24,NA,"8/11/03",0,24,8.8,8.625,13.056,0.2,5.70344309827732
4082,18,NA,"8/13/03",0.267,25.6,9.45,10.464,10.439,2.49,5.59702870726749
4085,4,NA,"8/25/03",0,22.778,9,4.572,22.778,8.8,NA
4086,73,NA,"8/20/03",0,25,9,7.62,24.444,4.4,NA
4087,4,NA,"8/8/03",0,22.778,9.4,14.02,17.222,0.1,10.514750410509
4089,25,NA,"8/12/03",0.03,23.611,8.2,8.412,23.333,4.7,NA
4090,12,NA,"8/11/03",0.039,24.056,8.67,4.637,16.561,0.15,2.96145867239466
4129,19,NA,"8/22/03",0,26.356,NA,15.544,5.756,NA,5.90427615163141
4134,34,NA,"8/26/03",0.011,23.817,8.11,10.975,7.222,0.31,4.94880987002016
4135,41,NA,"9/4/03",0.271,20.894,9.28,18.103,4.989,0.2,6.78591902973206
4136,10,NA,"8/26/03",0,23.889,8.7,12.496,6.667,0.1,4.45659108312927
4136,11,NA,"8/26/03",0,22.778,8.7,6.096,11.111,0.1,3.62045888428287
4137,10,NA,"8/27/03",0,22.222,8.7,10.972,7.778,0.2,4.40826696225444
4156,29,NA,"8/13/03",0.213,24.056,9.2,14.843,11.889,0.3,7.60065306134925
4165,34,NA,"8/19/03",0,26.667,10.36,6.316,22.317,0.7,4.13759757986943
